#  Lassen County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.75
201402,3.08
201403,3.64
201404,1.32
201405,1.04
201406,0.22
201407,0.27
201408,0.8
201409,0.52
201410,1.11
201411,1.97
201412,5.58
201501,0.13
201502,2.57
201503,0.57
201504,0.91
201505,2.72
201506,0.74
201507,1.36
201508,0.05
201509,0.31
201510,1.08
201511,2.23
201512,4.56
201601,5.09
201602,1.07
201603,3.62
201604,1.79
201605,2.05
201606,0.56
201607,0.02
201608,0.04
201609,0.04
201610,3.71
201611,1.56
201612,4.08
201701,7.83
201702,7.03
201703,2.41
201704,3.78
201705,0.53
201706,0.66
201707,0.16
201708,0.79
201709,0.5
201710,0.58
201711,3.73
201712,0.47
201801,2.65
201802,0.48
201803,3.44
201804,3.69
201805,2.79
201806,0.32
201807,0.07
201808,0.01
201809,0
201810,1.08
201811,1.98
201812,2.37
201901,4.32
201902,6.4
201903,2.9
201904,2.15
201905,3.1
201906,0.46
201907,0.04
201908,0.22
201909,1.76
201910,0.17
201911,0.29
201912,3.76
202001,2.27
202002,0.07
202003,2.06
202004,0.91
202005,1.48
202006,0.39
202007,0.1
202008,0.1
202009,0
202010,0.04
202011,1.13
202012,2.26
202101,2.64
202102,1.74
202103,1.5
202104,0.53
202105,0.33
202106,0.34
202107,0.16
202108,0.02
202109,0.77
202110,4.13
202111,0.5
202112,5.63
202201,0.26
202202,0.22
202203,0.75
202204,2.72
202205,0.64
202206,1.48
202207,0.01
202208,0.17
202209,1.07
202210,0.15
202211,1.3
202212,4.53
202301,4.76
202302,1.29
202303,5.37
202304,0.5
202305,2.68
202306,2.07
202307,0.01
202308,0.75
202309,1.4
202310,0.37
202311,1.38
202312,1.52
202401,2.59
202402,4.47
202403,4.26
202404,1.52
202405,0.53
202406,0.01
202407,0.1
202408,0.32
202409,0.16
202410,1.23
202411,3.83
202412,3.12
