#  Mendocino County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.88
201402,11.76
201403,10.79
201404,2.09
201405,0.18
201406,0.04
201407,0
201408,0.18
201409,1.41
201410,3.19
201411,6.67
201412,18.24
201501,1.04
201502,7.23
201503,1.28
201504,3.08
201505,0.27
201506,0.07
201507,0.24
201508,0.25
201509,0.93
201510,0.3
201511,3.54
201512,17.19
201601,16.86
201602,2.85
201603,15.39
201604,2.04
201605,1.12
201606,0.46
201607,0.01
201608,0.01
201609,0.02
201610,9.32
201611,7.65
201612,10.19
201701,20.27
201702,17.66
201703,6.24
201704,5.88
201705,0.27
201706,0.26
201707,0.01
201708,0.01
201709,0.21
201710,0.86
201711,8.68
201712,0.69
201801,9.85
201802,0.89
201803,8.64
201804,7.38
201805,0.42
201806,0.1
201807,0.01
201808,0.01
201809,0.22
201810,1.59
201811,6.32
201812,6.29
201901,11.31
201902,20.92
201903,9.87
201904,2.22
201905,5.34
201906,0.02
201907,0.01
201908,0.35
201909,0.71
201910,0.37
201911,2.11
201912,9.17
202001,7.39
202002,0.08
202003,2.81
202004,1.57
202005,2.64
202006,0.07
202007,0.01
202008,0.3
202009,0.13
202010,0.1
202011,2.57
202012,4.44
202101,7.81
202102,4.16
202103,3.76
202104,0.72
202105,0.05
202106,0.24
202107,0.01
202108,0.03
202109,0.61
202110,10.66
202111,3.19
202112,12.18
202201,1.62
202202,0.17
202203,1.58
202204,5.33
202205,0.95
202206,1.07
202207,0.13
202208,0.05
202209,2.31
202210,0.17
202211,4.48
202212,14.35
202301,17.33
202302,6.27
202303,13.85
202304,1.74
202305,2.08
202306,0.03
202307,0.02
202308,0.17
202309,0.75
202310,1.49
202311,3.71
202312,11
202401,14.14
202402,13.81
202403,9.21
202404,2.37
202405,1.8
202406,0.08
202407,0.01
202408,0.68
202409,0.18
202410,0.71
202411,13.04
202412,14.73
