#  Merced County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.39
201402,1.95
201403,1.43
201404,0.63
201405,0.02
201406,0
201407,0
201408,0
201409,0.05
201410,0.26
201411,1.24
201412,4.15
201501,0.02
201502,1.2
201503,0.21
201504,0.66
201505,0.34
201506,0
201507,0.01
201508,0.03
201509,0.01
201510,0.42
201511,2.34
201512,1.74
201601,4.66
201602,0.42
201603,3.06
201604,1.79
201605,0.39
201606,0
201607,0
201608,0
201609,0
201610,1.63
201611,0.8
201612,1.71
201701,5.81
201702,3.73
201703,1.39
201704,1.02
201705,0.12
201706,0.02
201707,0
201708,0
201709,0.03
201710,0.12
201711,0.7
201712,0.08
201801,2.2
201802,0.37
201803,3.1
201804,1.06
201805,0.07
201806,0
201807,0
201808,0
201809,0
201810,0.05
201811,2.28
201812,1.37
201901,2.3
201902,3.59
201903,2.17
201904,0.12
201905,1.37
201906,0
201907,0
201908,0
201909,0.03
201910,0
201911,0.69
201912,3.58
202001,0.67
202002,0
202003,2.09
202004,1.14
202005,0.22
202006,0
202007,0
202008,0
202009,0
202010,0
202011,0.61
202012,1.04
202101,3.52
202102,0.32
202103,0.88
202104,0.02
202105,0
202106,0
202107,0
202108,0
202109,0.01
202110,1.48
202111,0.27
202112,4
202201,0.03
202202,0.03
202203,0.93
202204,0.74
202205,0
202206,0.01
202207,0
202208,0.02
202209,0.22
202210,0
202211,1.15
202212,4.64
202301,6.08
202302,2.16
202303,4.25
202304,0.05
202305,0.79
202306,0.01
202307,0.01
202308,0.08
202309,0.03
202310,0.05
202311,0.75
202312,2.35
202401,3.35
202402,4.16
202403,2.05
202404,1.41
202405,0.42
202406,0
202407,0
202408,0
202409,0
202410,0.01
202411,1.32
202412,1.51
