#  Mono County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.08
201402,2.2
201403,1.23
201404,0.5
201405,0.86
201406,0.04
201407,1
201408,0.94
201409,0.59
201410,0.06
201411,0.6
201412,1.58
201501,0.18
201502,1.5
201503,0.28
201504,0.77
201505,2.97
201506,0.88
201507,1.66
201508,0.24
201509,0.29
201510,1.43
201511,1.85
201512,2.03
201601,2.71
201602,1.01
201603,1.88
201604,1.98
201605,1.25
201606,0.6
201607,0.21
201608,0.05
201609,0.28
201610,2.53
201611,0.46
201612,2.26
201701,10.09
201702,5.85
201703,1.64
201704,2.88
201705,0.94
201706,0.12
201707,0.19
201708,0.91
201709,0.91
201710,0.17
201711,2.59
201712,0.16
201801,1.06
201802,0.48
201803,4.66
201804,1.45
201805,1.24
201806,0.01
201807,1.61
201808,0.15
201809,0.09
201810,0.51
201811,2.07
201812,0.75
201901,3.19
201902,6.02
201903,2.98
201904,0.36
201905,2.24
201906,0.23
201907,0.57
201908,0.03
201909,0.21
201910,0.01
201911,1.13
201912,2.15
202001,0.48
202002,0.13
202003,1.81
202004,1.86
202005,0.35
202006,0.31
202007,0.21
202008,0.5
202009,0.1
202010,0.02
202011,0.91
202012,1.03
202101,2.42
202102,0.67
202103,0.92
202104,0.19
202105,0.45
202106,0.51
202107,1.36
202108,0.34
202109,0.06
202110,3.15
202111,0.38
202112,5.59
202201,0.01
202202,0.13
202203,0.63
202204,0.58
202205,0.08
202206,0.07
202207,0.35
202208,2
202209,1.43
202210,0.1
202211,1.57
202212,6.12
202301,8.09
202302,3.84
202303,6.6
202304,0.12
202305,0.63
202306,1.27
202307,0.16
202308,1.7
202309,0.82
202310,0.43
202311,0.68
202312,0.68
202401,1.34
202402,4.47
202403,2.97
202404,0.49
202405,0.35
202406,0.1
202407,0.98
202408,0.18
202409,0.39
202410,0.29
202411,1.49
202412,1.34
