#  Modoc County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.51
201402,2.87
201403,3.49
201404,1.1
201405,0.89
201406,0.47
201407,0.29
201408,0.54
201409,0.44
201410,1.9
201411,2.08
201412,3.63
201501,0.39
201502,1.66
201503,1.06
201504,0.77
201505,2.72
201506,0.54
201507,1.32
201508,0.12
201509,0.62
201510,0.91
201511,1.64
201512,5.1
201601,3.95
201602,0.89
201603,2.8
201604,1.3
201605,2.12
201606,0.85
201607,0.11
201608,0.02
201609,0.07
201610,2.61
201611,1.19
201612,3.26
201701,4.59
201702,4.44
201703,2.19
201704,2.51
201705,0.62
201706,0.96
201707,0.42
201708,0.49
201709,0.52
201710,0.73
201711,3.13
201712,0.52
201801,2.01
201802,0.95
201803,2.71
201804,3.1
201805,2.65
201806,0.44
201807,0.14
201808,0.02
201809,0.06
201810,1.25
201811,1.82
201812,2.14
201901,3.18
201902,4.27
201903,2.53
201904,2.64
201905,2.79
201906,0.18
201907,0.02
201908,0.36
201909,1.81
201910,0.46
201911,0.38
201912,2.6
202001,3.53
202002,0.3
202003,2.22
202004,0.67
202005,1.7
202006,0.78
202007,0.06
202008,0.14
202009,0.02
202010,0.23
202011,1.63
202012,1.64
202101,1.6
202102,1.98
202103,1.02
202104,0.74
202105,0.39
202106,0.21
202107,0.07
202108,0.06
202109,1.61
202110,2.89
202111,0.47
202112,3.41
202201,0.56
202202,0.36
202203,0.75
202204,2.73
202205,1.03
202206,1.27
202207,0.03
202208,0.33
202209,0.99
202210,0.32
202211,2
202212,4.45
202301,2.33
202302,1.46
202303,3.94
202304,0.77
202305,2.5
202306,1.59
202307,0.03
202308,1.13
202309,1.11
202310,0.63
202311,1.86
202312,1.42
202401,3.07
202402,2.56
202403,3.1
202404,1.8
202405,0.82
202406,0.04
202407,0.17
202408,0.47
202409,0.37
202410,1.24
202411,3.46
202412,3.43
