#  Monterey County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.11
201402,4.69
201403,2.13
201404,1.46
201405,0.04
201406,0
201407,0.02
201408,0
201409,0.12
201410,0.57
201411,2.03
201412,8.76
201501,0.1
201502,2.19
201503,0.29
201504,1.24
201505,0.39
201506,0.05
201507,0.13
201508,0.04
201509,0.04
201510,0.43
201511,3.07
201512,3.27
201601,6.92
201602,1.1
201603,4.83
201604,0.77
201605,0.24
201606,0.01
201607,0
201608,0
201609,0
201610,2.31
201611,1.95
201612,2.73
201701,12.07
201702,7.6
201703,2.01
201704,1.74
201705,0.11
201706,0.05
201707,0.03
201708,0.02
201709,0.07
201710,0.15
201711,1.04
201712,0.13
201801,3.93
201802,0.35
201803,6.84
201804,1.24
201805,0.06
201806,0
201807,0.01
201808,0
201809,0
201810,0.27
201811,3.96
201812,2.55
201901,5.09
201902,8.85
201903,3.48
201904,0.38
201905,1.99
201906,0.03
201907,0
201908,0
201909,0.03
201910,0
201911,2.23
201912,8.42
202001,1.25
202002,0.02
202003,4.06
202004,2.49
202005,0.38
202006,0.01
202007,0.01
202008,0.04
202009,0
202010,0
202011,0.56
202012,1.39
202101,7.68
202102,0.34
202103,1.71
202104,0.05
202105,0.01
202106,0
202107,0.03
202108,0
202109,0.01
202110,2.35
202111,0.41
202112,8.21
202201,0.1
202202,0.14
202203,1.41
202204,0.79
202205,0
202206,0.07
202207,0
202208,0.03
202209,0.62
202210,0.01
202211,2.08
202212,8.31
202301,9.95
202302,3.48
202303,7.62
202304,0.06
202305,0.79
202306,0.18
202307,0
202308,0.05
202309,0.08
202310,0.1
202311,1.28
202312,5.5
202401,4.49
202402,7.83
202403,3.99
202404,2.16
202405,0.5
202406,0
202407,0
202408,0.02
202409,0.24
202410,0.01
202411,2.68
202412,2.03
