#  Mariposa County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.43
201402,3.9
201403,3.06
201404,2.01
201405,0.39
201406,0.05
201407,0.31
201408,0.08
201409,0.68
201410,0.12
201411,2.16
201412,5.25
201501,0.13
201502,2.46
201503,0.38
201504,2.11
201505,1.26
201506,0.23
201507,0.66
201508,0.02
201509,0.13
201510,1.72
201511,4.23
201512,6.67
201601,8.08
201602,1.39
201603,7.28
201604,3.31
201605,0.8
201606,0.18
201607,0.01
201608,0
201609,0.05
201610,4.5
201611,2.28
201612,6.82
201701,14.89
201702,11.57
201703,4.14
201704,4.76
201705,0.45
201706,0.29
201707,0
201708,0.5
201709,0.91
201710,0.4
201711,3.79
201712,0.29
201801,3.75
201802,0.91
201803,11.99
201804,3.4
201805,0.55
201806,0
201807,0.06
201808,0.01
201809,0.08
201810,0.87
201811,6.12
201812,2.43
201901,6.52
201902,11.35
201903,6.03
201904,1.18
201905,4.72
201906,0.17
201907,0.05
201908,0
201909,0.23
201910,0.02
201911,1.69
201912,6.1
202001,1.36
202002,0.1
202003,4.52
202004,3.45
202005,1.83
202006,0.1
202007,0.02
202008,0.04
202009,0.04
202010,0
202011,1.6
202012,2.72
202101,5.03
202102,1.43
202103,2.29
202104,0.55
202105,0.18
202106,0.19
202107,0.2
202108,0.24
202109,0.02
202110,4.88
202111,0.83
202112,10.64
202201,0.03
202202,0.27
202203,1.6
202204,2.86
202205,0.05
202206,0.08
202207,0.02
202208,0.23
202209,1.12
202210,0.08
202211,3.03
202212,12.16
202301,14.32
202302,5.91
202303,14.79
202304,0.14
202305,1.1
202306,0.62
202307,0.01
202308,0.47
202309,0.75
202310,0.1
202311,2.2
202312,2.15
202401,5.76
202402,8.81
202403,6.28
202404,2.95
202405,1.25
202406,0.05
202407,0.28
202408,0.06
202409,0.1
202410,0.17
202411,3.96
202412,3.99
