#  Marin County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.1
201402,11.33
201403,4.09
201404,2.05
201405,0.09
201406,0.01
201407,0.05
201408,0.09
201409,0.52
201410,0.9
201411,3.81
201412,17.2
201501,0.05
201502,3.53
201503,0.26
201504,1.88
201505,0.12
201506,0.27
201507,0.07
201508,0.03
201509,0.27
201510,0.06
201511,1.84
201512,7.55
201601,10.73
201602,1.17
201603,9.7
201604,1.51
201605,0.22
201606,0.03
201607,0
201608,0.01
201609,0
201610,6.33
201611,4.04
201612,7.07
201701,17.01
201702,13.84
201703,4.45
201704,4.65
201705,0.07
201706,0.3
201707,0
201708,0
201709,0.1
201710,0.24
201711,5.1
201712,0.09
201801,6.77
201802,0.37
201803,8.32
201804,5.04
201805,0.13
201806,0
201807,0
201808,0.02
201809,0.02
201810,1.29
201811,5.19
201812,3.34
201901,7.95
201902,15.07
201903,7.21
201904,1.13
201905,3.56
201906,0.01
201907,0
201908,0
201909,0.1
201910,0.02
201911,1.53
201912,10.12
202001,3.56
202002,0
202003,2.16
202004,1.47
202005,1.24
202006,0
202007,0.01
202008,0.25
202009,0
202010,0.01
202011,1.54
202012,2.83
202101,4.1
202102,1.44
202103,2.18
202104,0.09
202105,0
202106,0.01
202107,0
202108,0.01
202109,0.17
202110,8.78
202111,3.04
202112,10.42
202201,1.08
202202,0.07
202203,1.04
202204,2.43
202205,0.02
202206,0.56
202207,0.01
202208,0.04
202209,1.02
202210,0.01
202211,1.87
202212,12.83
202301,13.72
202302,4.67
202303,11.44
202304,0.62
202305,1.09
202306,0.03
202307,0
202308,0.08
202309,0.22
202310,0.53
202311,3.19
202312,7.49
202401,9.02
202402,9.14
202403,5.26
202404,1.3
202405,1.03
202406,0
202407,0
202408,0.09
202409,0
202410,0.33
202411,10.81
202412,9.22
