#  Napa County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.13
201402,9.65
201403,3.44
201404,2
201405,0.01
201406,0
201407,0
201408,0.05
201409,0.5
201410,0.84
201411,2.57
201412,14.09
201501,0.06
201502,4.33
201503,0.19
201504,1.63
201505,0.15
201506,0.11
201507,0.06
201508,0.01
201509,0.28
201510,0.21
201511,1.68
201512,5.17
201601,9.59
201602,1.15
201603,9.62
201604,1.31
201605,0.36
201606,0.01
201607,0
201608,0
201609,0
201610,5.39
201611,2.74
201612,5.84
201701,17.81
201702,13
201703,3.64
201704,3.68
201705,0.03
201706,0.38
201707,0
201708,0
201709,0.04
201710,0.21
201711,4.4
201712,0.11
201801,5.5
201802,0.31
201803,7.12
201804,3.1
201805,0.15
201806,0
201807,0.01
201808,0
201809,0.04
201810,0.78
201811,4.43
201812,3.12
201901,8.69
201902,14.41
201903,6.18
201904,0.96
201905,3.48
201906,0
201907,0.01
201908,0
201909,0.07
201910,0
201911,1.03
201912,8.67
202001,2.71
202002,0.01
202003,1.5
202004,1.16
202005,1.39
202006,0
202007,0
202008,0.1
202009,0
202010,0
202011,1.29
202012,2.16
202101,4.3
202102,1.93
202103,2.19
202104,0.15
202105,0.01
202106,0
202107,0
202108,0
202109,0.07
202110,7.99
202111,1.71
202112,8.82
202201,0.82
202202,0.06
202203,1.03
202204,1.87
202205,0.13
202206,0.29
202207,0.01
202208,0.08
202209,1.06
202210,0
202211,1.5
202212,10.33
202301,13.09
202302,4.22
202303,11.88
202304,0.37
202305,1.11
202306,0.02
202307,0.01
202308,0.06
202309,0.17
202310,0.61
202311,2.11
202312,5.75
202401,6.28
202402,9.7
202403,4.48
202404,1.24
202405,0.7
202406,0.01
202407,0
202408,0.1
202409,0
202410,0.3
202411,9.31
202412,7.61
