#  Nevada County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,2.01
201402,12.91
201403,7.86
201404,2.82
201405,0.96
201406,0
201407,0.28
201408,0.69
201409,1.09
201410,1.96
201411,4.97
201412,12.87
201501,0.11
201502,6.73
201503,0.9
201504,3.29
201505,1.46
201506,0.63
201507,0.46
201508,0.1
201509,0.19
201510,1.64
201511,5.11
201512,11.46
201601,14.36
201602,2.29
201603,14.62
201604,3.18
201605,2.09
201606,0.15
201607,0
201608,0.04
201609,0.04
201610,12.31
201611,5.48
201612,11.22
201701,26.44
201702,23.27
201703,6.55
201704,9.37
201705,0.8
201706,0.65
201707,0.01
201708,0.2
201709,0.89
201710,0.95
201711,12.54
201712,0.92
201801,8.09
201802,1.35
201803,15.52
201804,5.49
201805,2.13
201806,0.14
201807,0.07
201808,0
201809,0.02
201810,0.89
201811,7.25
201812,4.41
201901,12.94
201902,21.56
201903,7.97
201904,3.29
201905,5.76
201906,0.46
201907,0.04
201908,0.02
201909,2.33
201910,0.14
201911,2.15
201912,10.26
202001,4.42
202002,0.16
202003,6.71
202004,3.85
202005,3.13
202006,0.26
202007,0.1
202008,0.06
202009,0.01
202010,0.01
202011,4.37
202012,4.34
202101,6.71
202102,3.77
202103,3.71
202104,0.59
202105,0.43
202106,0.07
202107,0.13
202108,0.03
202109,0.83
202110,13.47
202111,2.36
202112,16.36
202201,0.97
202202,0.58
202203,1.44
202204,6.38
202205,0.6
202206,1.39
202207,0.01
202208,0.21
202209,1.63
202210,0.09
202211,4.68
202212,19.89
202301,16.46
202302,7.07
202303,14.9
202304,1.45
202305,2.14
202306,1.02
202307,0
202308,0.67
202309,1.09
202310,1.45
202311,3.11
202312,5.17
202401,9.29
202402,11.28
202403,9
202404,1.89
202405,2.07
202406,0.01
202407,0.11
202408,0.63
202409,0.14
202410,0.91
202411,10.07
202412,9.47
