#  Orange County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.04
201402,1.62
201403,1.08
201404,0.58
201405,0.05
201406,0
201407,0.02
201408,0.12
201409,0.12
201410,0.03
201411,0.5
201412,3.47
201501,0.84
201502,0.58
201503,0.65
201504,0.22
201505,1.01
201506,0.02
201507,0.19
201508,0.01
201509,0.96
201510,0.38
201511,0.26
201512,0.79
201601,2.54
201602,0.39
201603,1.21
201604,0.29
201605,0.25
201606,0.02
201607,0
201608,0
201609,0.04
201610,0.63
201611,1.2
201612,4.35
201701,8.31
201702,3.92
201703,0.13
201704,0.07
201705,0.39
201706,0
201707,0.01
201708,0.18
201709,0.1
201710,0
201711,0.05
201712,0.04
201801,1.7
201802,0.32
201803,1.81
201804,0.03
201805,0.13
201806,0
201807,0.01
201808,0
201809,0
201810,0.85
201811,1.37
201812,2.57
201901,5.07
201902,6.3
201903,1.97
201904,0.13
201905,0.85
201906,0.02
201907,0.02
201908,0
201909,0.02
201910,0
201911,2.63
201912,4.23
202001,0.23
202002,0.34
202003,3.84
202004,3.39
202005,0.09
202006,0.05
202007,0
202008,0
202009,0
202010,0.01
202011,0.36
202012,1.26
202101,1.87
202102,0.05
202103,1.53
202104,0.02
202105,0.07
202106,0.01
202107,0.07
202108,0.03
202109,0.05
202110,0.54
202111,0
202112,5.17
202201,0.07
202202,0.21
202203,1.09
202204,0.21
202205,0.01
202206,0.06
202207,0.01
202208,0.02
202209,0.42
202210,0.29
202211,1.79
202212,2.46
202301,6.33
202302,3.56
202303,7.29
202304,0.07
202305,0.78
202306,0.05
202307,0
202308,0.3
202309,0.08
202310,0.02
202311,0.64
202312,1.39
202401,1.97
202402,8.68
202403,3.92
202404,0.5
202405,0.1
202406,0.01
202407,0
202408,0
202409,0.04
202410,0.01
202411,0.08
202412,0.02
