#  Placer County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,2.26
201402,11.55
201403,6.33
201404,2.53
201405,1.21
201406,0.01
201407,0.23
201408,0.47
201409,1.33
201410,1.35
201411,4.13
201412,10.63
201501,0.12
201502,6.73
201503,0.75
201504,3.23
201505,1.93
201506,0.77
201507,0.3
201508,0.06
201509,0.15
201510,1.83
201511,4.98
201512,10.15
201601,12.37
201602,2.12
201603,12.08
201604,3.4
201605,2.18
201606,0.08
201607,0
201608,0.04
201609,0.06
201610,10.95
201611,4.25
201612,9.75
201701,25.03
201702,21.21
201703,6.08
201704,7.91
201705,1.08
201706,0.56
201707,0.01
201708,0.27
201709,0.91
201710,0.85
201711,11.12
201712,0.81
201801,7.27
201802,1.36
201803,15.13
201804,5.05
201805,2.13
201806,0.06
201807,0.09
201808,0.01
201809,0.02
201810,0.9
201811,6.3
201812,4.1
201901,11.64
201902,20.49
201903,7.68
201904,2.71
201905,5.48
201906,0.23
201907,0.03
201908,0.01
201909,1.72
201910,0.13
201911,2.09
201912,9.61
202001,3.79
202002,0.13
202003,6.63
202004,3.52
202005,2.5
202006,0.27
202007,0.06
202008,0.07
202009,0.01
202010,0.02
202011,4.11
202012,3.84
202101,5.65
202102,3.6
202103,3.45
202104,0.59
202105,0.51
202106,0.05
202107,0.09
202108,0.03
202109,0.57
202110,12.55
202111,2.01
202112,15.24
202201,0.68
202202,0.69
202203,1.41
202204,5.8
202205,0.67
202206,1.02
202207,0.01
202208,0.24
202209,1.54
202210,0.09
202211,4.2
202212,19.22
202301,15.74
202302,7.4
202303,14.53
202304,1.07
202305,2.23
202306,0.86
202307,0.01
202308,0.7
202309,1.04
202310,1.34
202311,3.1
202312,4.71
202401,7.95
202402,10.24
202403,9.11
202404,1.74
202405,1.84
202406,0.01
202407,0.11
202408,0.45
202409,0.24
202410,0.92
202411,7.74
202412,8.04
