#  Plumas County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.27
201402,7.51
201403,8.03
201404,1.55
201405,0.75
201406,0.02
201407,0.2
201408,1.21
201409,0.94
201410,1.54
201411,3.22
201412,12.81
201501,0.15
201502,5.64
201503,0.83
201504,1.86
201505,1.89
201506,0.65
201507,0.94
201508,0.12
201509,0.27
201510,1.73
201511,3.96
201512,8.19
201601,11.63
201602,2.35
201603,11.99
201604,2.68
201605,2.34
201606,0.62
201607,0
201608,0.05
201609,0.08
201610,8.86
201611,3.76
201612,8.39
201701,20.55
201702,19.04
201703,5.73
201704,8.73
201705,0.62
201706,0.61
201707,0.03
201708,0.36
201709,1.04
201710,0.76
201711,9.98
201712,0.89
201801,5.8
201802,0.89
201803,11.55
201804,4.47
201805,2.36
201806,0.33
201807,0.07
201808,0
201809,0
201810,0.87
201811,4.39
201812,4.63
201901,11.38
201902,17.35
201903,7.02
201904,2.79
201905,4.94
201906,0.5
201907,0.03
201908,0.11
201909,2.35
201910,0.16
201911,1.45
201912,8.06
202001,3.55
202002,0.05
202003,4.55
202004,2.37
202005,3.23
202006,0.35
202007,0.28
202008,0.09
202009,0
202010,0.01
202011,3.26
202012,3.92
202101,4.82
202102,3.11
202103,3.3
202104,0.76
202105,0.27
202106,0.16
202107,0.2
202108,0.01
202109,0.61
202110,10.52
202111,1.56
202112,12.97
202201,0.68
202202,0.29
202203,1.01
202204,5.09
202205,0.55
202206,1.27
202207,0.01
202208,0.1
202209,1.3
202210,0.01
202211,3.41
202212,12.44
202301,14
202302,4.19
202303,14.09
202304,1.39
202305,2.13
202306,2.18
202307,0
202308,0.77
202309,1.72
202310,0.66
202311,2.3
202312,4.52
202401,5.58
202402,11.52
202403,9.8
202404,1.45
202405,2.19
202406,0
202407,0.18
202408,0.7
202409,0.06
202410,1.18
202411,8.97
202412,7.16
