#  Riverside County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.03
201402,0.62
201403,0.66
201404,0.27
201405,0.07
201406,0
201407,0.17
201408,0.9
201409,0.54
201410,0.01
201411,0.18
201412,1.78
201501,0.75
201502,0.37
201503,0.92
201504,0.2
201505,0.58
201506,0.05
201507,0.75
201508,0.06
201509,0.4
201510,0.76
201511,0.15
201512,0.44
201601,2.32
201602,0.17
201603,0.37
201604,0.74
201605,0.13
201606,0
201607,0.04
201608,0.08
201609,0.49
201610,0.37
201611,0.52
201612,2.81
201701,4.09
201702,2.23
201703,0.06
201704,0.01
201705,0.22
201706,0
201707,0.1
201708,0.57
201709,0.64
201710,0
201711,0.02
201712,0
201801,1.29
201802,0.18
201803,0.84
201804,0
201805,0.07
201806,0
201807,0.27
201808,0.22
201809,0.01
201810,1.21
201811,0.49
201812,1.24
201901,2.03
201902,4.4
201903,0.97
201904,0.11
201905,0.47
201906,0
201907,0.25
201908,0
201909,0.46
201910,0
201911,1.88
201912,2.21
202001,0.1
202002,0.25
202003,3.67
202004,1.9
202005,0.01
202006,0.02
202007,0
202008,0.02
202009,0
202010,0
202011,0.27
202012,0.38
202101,1.32
202102,0.04
202103,0.61
202104,0.05
202105,0
202106,0.05
202107,0.69
202108,0.25
202109,0.2
202110,0.33
202111,0
202112,1.85
202201,0.04
202202,0.24
202203,0.35
202204,0.12
202205,0
202206,0.04
202207,0.05
202208,0.82
202209,0.74
202210,0.78
202211,0.66
202212,0.61
202301,2.61
202302,0.9
202303,2.98
202304,0.01
202305,0.28
202306,0.04
202307,0.01
202308,1.37
202309,0.68
202310,0.01
202311,0.51
202312,0.57
202401,1.7
202402,2.75
202403,1.6
202404,0.28
202405,0.04
202406,0
202407,0.03
202408,0.01
202409,0.07
202410,0
202411,0.02
202412,0
