#  Sacramento County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.22
201402,4.39
201403,2.21
201404,1.99
201405,0.06
201406,0
201407,0.04
201408,0.01
201409,0.42
201410,0.43
201411,1.51
201412,7.61
201501,0.02
201502,2.59
201503,0.25
201504,1.94
201505,0.17
201506,0.1
201507,0.01
201508,0.02
201509,0.02
201510,0.3
201511,1.92
201512,2.22
201601,5.86
201602,0.89
201603,5.22
201604,1.51
201605,0.48
201606,0
201607,0
201608,0
201609,0
201610,3.91
201611,1.57
201612,3.23
201701,10.18
201702,8.19
201703,2.66
201704,3.4
201705,0.12
201706,0.19
201707,0
201708,0
201709,0.01
201710,0.2
201711,2.76
201712,0.16
201801,4.47
201802,0.54
201803,5.24
201804,2.67
201805,0.4
201806,0
201807,0
201808,0
201809,0
201810,0.21
201811,2.99
201812,2.43
201901,4.53
201902,8.31
201903,3.77
201904,0.76
201905,3.33
201906,0.01
201907,0
201908,0
201909,0.24
201910,0
201911,0.73
201912,4.2
202001,1.28
202002,0
202003,2.03
202004,1.9
202005,0.59
202006,0.01
202007,0
202008,0.02
202009,0
202010,0
202011,0.73
202012,1.5
202101,2.85
202102,1.17
202103,1.31
202104,0.03
202105,0.01
202106,0
202107,0
202108,0
202109,0.03
202110,5.04
202111,0.78
202112,6.36
202201,0.08
202202,0.02
202203,1
202204,1.13
202205,0.04
202206,0.16
202207,0
202208,0
202209,0.46
202210,0
202211,1.45
202212,8.46
202301,7.91
202302,2.65
202303,5.64
202304,0.21
202305,0.52
202306,0.01
202307,0
202308,0.03
202309,0.1
202310,0.51
202311,0.76
202312,3.46
202401,3.7
202402,5.05
202403,2.51
202404,1.86
202405,0.76
202406,0
202407,0
202408,0.05
202409,0
202410,0.15
202411,3.65
202412,3.46
