#  Santa Barbara County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.02
201402,3.48
201403,2.04
201404,0.64
201405,0.04
201406,0
201407,0.01
201408,0.01
201409,0
201410,0.36
201411,1
201412,5.61
201501,0.95
201502,0.7
201503,0.31
201504,0.37
201505,0.33
201506,0.21
201507,0.14
201508,0
201509,0.1
201510,0.18
201511,0.73
201512,1.03
201601,5.22
201602,0.91
201603,2.95
201604,0.63
201605,0.35
201606,0
201607,0
201608,0
201609,0
201610,1.11
201611,1.51
201612,3.31
201701,8.75
201702,9.26
201703,0.95
201704,0.58
201705,0.39
201706,0
201707,0.01
201708,0.01
201709,0.44
201710,0.03
201711,0.08
201712,0.02
201801,2.75
201802,0.18
201803,5.45
201804,0.19
201805,0.14
201806,0.01
201807,0
201808,0
201809,0
201810,0.54
201811,2.29
201812,1.17
201901,7.52
201902,6.68
201903,3.5
201904,0.18
201905,1.59
201906,0.01
201907,0
201908,0.01
201909,0
201910,0
201911,2.19
201912,4.97
202001,0.63
202002,0.03
202003,4.93
202004,3.58
202005,0.08
202006,0.02
202007,0
202008,0.01
202009,0
202010,0
202011,0.22
202012,1.84
202101,5.63
202102,0.1
202103,1.23
202104,0.1
202105,0.01
202106,0
202107,0.02
202108,0
202109,0
202110,1.58
202111,0.09
202112,7.78
202201,0.19
202202,0.14
202203,1.64
202204,0.37
202205,0.01
202206,0
202207,0
202208,0
202209,0.39
202210,0.03
202211,1.61
202212,5.92
202301,12.74
202302,5.75
202303,7.36
202304,0.02
202305,0.64
202306,0.27
202307,0
202308,0.16
202309,0.09
202310,0.01
202311,0.58
202312,5.12
202401,2.28
202402,11.38
202403,4.85
202404,2.45
202405,0.09
202406,0
202407,0.01
202408,0
202409,0.09
202410,0.04
202411,0.96
202412,0.4
