#  San Bernardino County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.02
201402,0.44
201403,0.46
201404,0.25
201405,0.11
201406,0
201407,0.47
201408,1.06
201409,0.46
201410,0.03
201411,0.09
201412,1.43
201501,1.01
201502,0.52
201503,0.5
201504,0.19
201505,0.23
201506,0.06
201507,1.2
201508,0.1
201509,0.33
201510,0.9
201511,0.23
201512,0.27
201601,1.49
201602,0.25
201603,0.34
201604,0.83
201605,0.15
201606,0.03
201607,0.16
201608,0.3
201609,0.18
201610,0.53
201611,0.24
201612,2.1
201701,2.91
201702,1.3
201703,0.04
201704,0.02
201705,0.19
201706,0
201707,0.35
201708,0.36
201709,0.39
201710,0
201711,0
201712,0
201801,1.12
201802,0.12
201803,0.92
201804,0
201805,0.25
201806,0
201807,0.51
201808,0.15
201809,0.01
201810,0.81
201811,0.36
201812,0.86
201901,1.87
201902,2.9
201903,1.17
201904,0.18
201905,0.52
201906,0.01
201907,0.24
201908,0.06
201909,0.24
201910,0
201911,1.39
201912,2.21
202001,0.03
202002,0.23
202003,2.39
202004,1.33
202005,0.01
202006,0
202007,0
202008,0.07
202009,0
202010,0
202011,0.14
202012,0.24
202101,0.85
202102,0.04
202103,0.3
202104,0.01
202105,0.01
202106,0.05
202107,0.68
202108,0.27
202109,0.18
202110,0.35
202111,0
202112,1.56
202201,0.05
202202,0.19
202203,0.21
202204,0.07
202205,0
202206,0.04
202207,0.44
202208,0.98
202209,0.36
202210,0.34
202211,0.62
202212,0.51
202301,1.86
202302,0.73
202303,2.11
202304,0.01
202305,0.2
202306,0.06
202307,0.01
202308,1.46
202309,0.4
202310,0.04
202311,0.22
202312,0.45
202401,0.96
202402,2.84
202403,1.28
202404,0.3
202405,0.03
202406,0
202407,0.08
202408,0.07
202409,0.11
202410,0.01
202411,0.02
202412,0
