#  San Benito County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.22
201402,3.53
201403,2.19
201404,1.19
201405,0.01
201406,0
201407,0.03
201408,0
201409,0.1
201410,0.25
201411,1.86
201412,6.33
201501,0.04
201502,1.54
201503,0.33
201504,0.95
201505,0.68
201506,0.02
201507,0.03
201508,0.06
201509,0.03
201510,0.52
201511,3.39
201512,2.53
201601,5.78
201602,0.74
201603,4.14
201604,1.29
201605,0.28
201606,0
201607,0
201608,0.01
201609,0
201610,2
201611,1.52
201612,1.89
201701,9.17
201702,5.06
201703,1.68
201704,1.22
201705,0.11
201706,0.03
201707,0.02
201708,0.01
201709,0.02
201710,0.09
201711,0.6
201712,0.1
201801,3.34
201802,0.29
201803,5.2
201804,1.04
201805,0.02
201806,0
201807,0.01
201808,0
201809,0
201810,0.17
201811,3.51
201812,2.2
201901,3.51
201902,6.75
201903,2.4
201904,0.37
201905,1.44
201906,0.03
201907,0.01
201908,0
201909,0.03
201910,0
201911,1.85
201912,6.58
202001,1.16
202002,0.02
202003,3.65
202004,1.97
202005,0.3
202006,0
202007,0.01
202008,0.01
202009,0
202010,0
202011,0.56
202012,1.04
202101,5.66
202102,0.26
202103,1.41
202104,0.04
202105,0
202106,0
202107,0.02
202108,0
202109,0.01
202110,2
202111,0.4
202112,6.27
202201,0.03
202202,0.04
202203,1.17
202204,0.63
202205,0
202206,0.17
202207,0
202208,0.02
202209,0.24
202210,0
202211,2.04
202212,5.9
202301,7.92
202302,2.99
202303,5.99
202304,0.09
202305,0.83
202306,0.15
202307,0
202308,0.08
202309,0.06
202310,0.09
202311,1.22
202312,4.19
202401,3.63
202402,7.08
202403,3.35
202404,1.75
202405,0.39
202406,0
202407,0
202408,0.01
202409,0.15
202410,0.01
202411,1.88
202412,2.03
