#  Santa Clara County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.2
201402,4.6
201403,2.56
201404,1.7
201405,0.04
201406,0.01
201407,0.01
201408,0.01
201409,0.4
201410,0.75
201411,2.49
201412,11.62
201501,0.01
201502,2.87
201503,0.4
201504,1.28
201505,0.57
201506,0.07
201507,0.02
201508,0.1
201509,0.01
201510,0.28
201511,3.33
201512,4.79
201601,7.73
201602,1.24
201603,7.73
201604,2.14
201605,0.36
201606,0
201607,0.01
201608,0.02
201609,0
201610,3.96
201611,2.26
201612,4.19
201701,12.68
201702,9.68
201703,3.23
201704,2.79
201705,0.06
201706,0.08
201707,0
201708,0
201709,0.1
201710,0.22
201711,2.55
201712,0.14
201801,4.74
201802,0.51
201803,6.01
201804,2.68
201805,0.06
201806,0
201807,0.01
201808,0
201809,0
201810,0.1
201811,4.09
201812,2.9
201901,5.45
201902,9.47
201903,5.81
201904,0.74
201905,2.77
201906,0.02
201907,0.02
201908,0.01
201909,0.09
201910,0.01
201911,1.46
201912,6.32
202001,2.19
202002,0
202003,4.32
202004,2.32
202005,0.88
202006,0.01
202007,0
202008,0.03
202009,0
202010,0
202011,0.6
202012,2.12
202101,4.71
202102,1.07
202103,2.04
202104,0.15
202105,0
202106,0
202107,0.01
202108,0.01
202109,0.02
202110,4.62
202111,0.74
202112,9.44
202201,0.15
202202,0.16
202203,0.91
202204,1.67
202205,0.03
202206,0.02
202207,0.01
202208,0.01
202209,0.85
202210,0.01
202211,2.58
202212,12.07
202301,10.05
202302,4.65
202303,9.13
202304,0.12
202305,1.2
202306,0.07
202307,0
202308,0.05
202309,0.1
202310,0.22
202311,1.21
202312,5.02
202401,6.86
202402,6.75
202403,5.66
202404,2.28
202405,0.83
202406,0
202407,0
202408,0.01
202409,0.04
202410,0.04
202411,2.17
202412,4.69
