#  Santa Cruz County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.08
201402,7.44
201403,3.71
201404,1.66
201405,0.05
201406,0.01
201407,0.08
201408,0.01
201409,0.75
201410,0.83
201411,3.91
201412,14.98
201501,0
201502,3.65
201503,0.52
201504,1.85
201505,0.29
201506,0.06
201507,0.06
201508,0.06
201509,0.02
201510,0.1
201511,3.77
201512,6.64
201601,11.48
201602,1.16
201603,10.33
201604,1.68
201605,0.25
201606,0
201607,0.02
201608,0.03
201609,0.01
201610,5.4
201611,3.05
201612,7.03
201701,19.27
201702,14.61
201703,5.03
201704,4.06
201705,0.05
201706,0.09
201707,0
201708,0.01
201709,0.09
201710,0.21
201711,4.05
201712,0.16
201801,6.08
201802,0.36
201803,8.63
201804,3.17
201805,0.08
201806,0.02
201807,0.02
201808,0
201809,0
201810,0.08
201811,5.08
201812,3.81
201901,8.87
201902,12.83
201903,7.73
201904,0.87
201905,3.52
201906,0.05
201907,0.05
201908,0.02
201909,0.11
201910,0
201911,2.14
201912,10.05
202001,2.78
202002,0.02
202003,3.49
202004,3.02
202005,0.99
202006,0.02
202007,0.02
202008,0.05
202009,0
202010,0
202011,1.45
202012,2.67
202101,7.42
202102,1.42
202103,2.84
202104,0.09
202105,0.01
202106,0.02
202107,0.02
202108,0.01
202109,0.02
202110,5.99
202111,1.72
202112,14.36
202201,0.49
202202,0.08
202203,1.63
202204,2.68
202205,0.01
202206,0.06
202207,0.02
202208,0.02
202209,1.13
202210,0.03
202211,3.51
202212,17.48
202301,13.67
202302,6.31
202303,12.93
202304,0.3
202305,1.51
202306,0.18
202307,0
202308,0.05
202309,0.15
202310,0.19
202311,1.95
202312,6.44
202401,9.45
202402,9.04
202403,6.78
202404,2.35
202405,1.16
202406,0
202407,0
202408,0.01
202409,0.03
202410,0.13
202411,3.15
202412,6.03
