#  San Diego County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.14
201402,1.29
201403,1.26
201404,0.71
201405,0.02
201406,0
201407,0.12
201408,0.56
201409,0.23
201410,0
201411,0.5
201412,3.24
201501,0.6
201502,0.75
201503,1.18
201504,0.31
201505,1.39
201506,0.09
201507,0.72
201508,0.05
201509,0.91
201510,0.63
201511,0.88
201512,1.57
201601,4.03
201602,0.4
201603,1.16
201604,0.84
201605,0.5
201606,0
201607,0
201608,0
201609,0.7
201610,0.17
201611,1.17
201612,4.2
201701,5.78
201702,4.78
201703,0.19
201704,0.01
201705,1.15
201706,0.01
201707,0.1
201708,0.49
201709,0.19
201710,0.02
201711,0.03
201712,0.04
201801,2.55
201802,0.64
201803,1.74
201804,0.03
201805,0.16
201806,0
201807,0.18
201808,0.02
201809,0
201810,0.51
201811,1.59
201812,2.27
201901,2.92
201902,7.34
201903,1.45
201904,0.29
201905,1.27
201906,0.06
201907,0.15
201908,0
201909,0.31
201910,0
201911,3.63
201912,3.75
202001,0.37
202002,0.71
202003,4.75
202004,3.37
202005,0.08
202006,0.11
202007,0
202008,0.01
202009,0
202010,0.06
202011,0.95
202012,0.94
202101,2.36
202102,0.17
202103,2.33
202104,0.18
202105,0.05
202106,0.01
202107,0.43
202108,0.54
202109,0.15
202110,0.97
202111,0
202112,4.16
202201,0.25
202202,0.95
202203,1.71
202204,0.26
202205,0.01
202206,0.02
202207,0.01
202208,0.24
202209,1.02
202210,0.61
202211,1.89
202212,1.67
202301,7.77
202302,2.51
202303,6.66
202304,0.09
202305,0.42
202306,0.07
202307,0.03
202308,1.27
202309,0.2
202310,0.16
202311,0.91
202312,0.93
202401,3.48
202402,5.21
202403,3.19
202404,0.62
202405,0.16
202406,0
202407,0
202408,0.15
202409,0.02
202410,0.01
202411,0.19
202412,0.02
