#  San Francisco County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.08
201402,6.25
201403,3.3
201404,1.74
201405,0.1
201406,0.01
201407,0.03
201408,0.01
201409,0.58
201410,0.61
201411,2.57
201412,13.46
201501,0
201502,2.11
201503,0.13
201504,1.54
201505,0.11
201506,0.23
201507,0.06
201508,0.02
201509,0.08
201510,0.02
201511,1.66
201512,5.19
201601,7.46
201602,1.03
201603,7.2
201604,1.48
201605,0.16
201606,0.01
201607,0.02
201608,0.01
201609,0
201610,3.63
201611,2.31
201612,5.54
201701,10.63
201702,9.26
201703,4.12
201704,2.9
201705,0.01
201706,0.19
201707,0
201708,0.01
201709,0.27
201710,0.28
201711,3.77
201712,0.15
201801,5.61
201802,0.4
201803,5.38
201804,4.12
201805,0.05
201806,0
201807,0
201808,0.01
201809,0.03
201810,0.31
201811,4.22
201812,2.38
201901,5.57
201902,9.46
201903,5.21
201904,0.47
201905,2.51
201906,0
201907,0
201908,0
201909,0.12
201910,0
201911,1.44
201912,4.78
202001,2.45
202002,0
202003,2.28
202004,1.18
202005,0.62
202006,0
202007,0.03
202008,0.06
202009,0
202010,0.01
202011,0.64
202012,2.17
202101,3.2
202102,1.73
202103,1.85
202104,0.11
202105,0.01
202106,0.01
202107,0.01
202108,0.02
202109,0.05
202110,6.44
202111,1.64
202112,9.59
202201,0.63
202202,0.03
202203,0.61
202204,1.58
202205,0.01
202206,0.36
202207,0.04
202208,0.01
202209,0.4
202210,0
202211,1.78
202212,12.77
202301,10.35
202302,3.96
202303,7.94
202304,0.27
202305,1.16
202306,0.01
202307,0
202308,0.05
202309,0.13
202310,0.27
202311,1.83
202312,4.92
202401,7.02
202402,5.95
202403,4.18
202404,1.32
202405,1.19
202406,0
202407,0.01
202408,0.12
202409,0
202410,0.14
202411,4.93
202412,6.28
