#  Sierra County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.86
201402,10.29
201403,6.95
201404,2
201405,1.22
201406,0
201407,0.58
201408,1.37
201409,1.16
201410,2.03
201411,3.59
201412,10.83
201501,0.11
201502,6.91
201503,0.88
201504,2.6
201505,2.09
201506,0.76
201507,0.99
201508,0.18
201509,0.24
201510,1.81
201511,4.64
201512,9.88
201601,12.28
201602,2.38
201603,13.34
201604,3.17
201605,2.49
201606,0.25
201607,0
201608,0.08
201609,0.05
201610,11.85
201611,4.13
201612,10.55
201701,25.17
201702,22.8
201703,6.05
201704,9.47
201705,1.02
201706,0.64
201707,0.04
201708,0.34
201709,1.27
201710,0.87
201711,11.69
201712,0.84
201801,6.15
201802,1.77
201803,13.82
201804,4.53
201805,2.84
201806,0.31
201807,0.28
201808,0
201809,0.02
201810,0.74
201811,5.56
201812,3.25
201901,12
201902,19.94
201903,7.11
201904,3.19
201905,5.11
201906,0.54
201907,0.11
201908,0.04
201909,2.29
201910,0.16
201911,2.52
201912,7.81
202001,3.66
202002,0.23
202003,5.82
202004,3
202005,3.07
202006,0.33
202007,0.2
202008,0.12
202009,0.02
202010,0.02
202011,3.98
202012,3.88
202101,5.47
202102,3.02
202103,3.18
202104,0.7
202105,0.55
202106,0.12
202107,0.21
202108,0.06
202109,0.82
202110,12.4
202111,2.25
202112,15.89
202201,0.64
202202,0.71
202203,1.06
202204,5.64
202205,0.62
202206,1.61
202207,0.01
202208,0.26
202209,1.58
202210,0.13
202211,4
202212,16.4
202301,14.8
202302,6.96
202303,13.16
202304,1.55
202305,2.3
202306,1.72
202307,0
202308,1.04
202309,1.51
202310,1
202311,2.72
202312,4.45
202401,6.24
202402,10.31
202403,9.49
202404,1.59
202405,2.04
202406,0
202407,0.31
202408,0.79
202409,0.17
202410,1.02
202411,9.24
202412,7.69
