#  Siskiyou County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.31
201402,6.28
201403,6.99
201404,1.22
201405,0.9
201406,0.32
201407,0.3
201408,0.31
201409,2.41
201410,4.54
201411,3.54
201412,8.5
201501,1.67
201502,7.72
201503,2.5
201504,1.15
201505,2.09
201506,0.52
201507,1.03
201508,0.15
201509,0.48
201510,0.86
201511,2.22
201512,11.95
201601,10.96
201602,3.01
201603,9.13
201604,2.06
201605,1.56
201606,1.15
201607,0.2
201608,0.01
201609,0.08
201610,10.35
201611,3.98
201612,6.44
201701,10.61
201702,11.9
201703,5.29
201704,4.81
201705,0.76
201706,0.89
201707,0.06
201708,0.46
201709,0.45
201710,1.07
201711,6.23
201712,1.09
201801,4.34
201802,1.22
201803,5.58
201804,3.66
201805,1.97
201806,0.34
201807,0.29
201808,0
201809,0.21
201810,0.97
201811,3.36
201812,4.29
201901,6.39
201902,11.59
201903,4.18
201904,3.5
201905,3.27
201906,0.13
201907,0
201908,0.78
201909,1.95
201910,0.94
201911,1.4
201912,5.36
202001,6.37
202002,0.43
202003,2.09
202004,0.93
202005,3.38
202006,0.71
202007,0.36
202008,0.62
202009,0.08
202010,0.23
202011,3.88
202012,4.14
202101,5.55
202102,3.83
202103,2.61
202104,0.59
202105,0.25
202106,0.48
202107,0.17
202108,0.03
202109,1.52
202110,5.48
202111,2.44
202112,6.28
202201,1.74
202202,0.41
202203,1.72
202204,3.95
202205,1.11
202206,1.17
202207,0.48
202208,0.18
202209,0.79
202210,0.24
202211,3.39
202212,8.9
202301,7.5
202302,3
202303,8.5
202304,1.57
202305,2.08
202306,0.79
202307,0.03
202308,0.74
202309,1.3
202310,1.03
202311,2.32
202312,5.84
202401,9.35
202402,6.49
202403,6.27
202404,1.83
202405,1.42
202406,0.16
202407,0.01
202408,0.81
202409,0.33
202410,1.19
202411,9.96
202412,9.36
