#  San Luis Obispo County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.01
201402,3.02
201403,1.78
201404,0.9
201405,0.01
201406,0
201407,0.01
201408,0
201409,0.01
201410,0.29
201411,0.97
201412,5.18
201501,0.35
201502,1.87
201503,0.19
201504,0.72
201505,0.18
201506,0.07
201507,0.13
201508,0
201509,0.05
201510,0.14
201511,1.36
201512,1.59
201601,5.29
201602,0.63
201603,3.38
201604,0.42
201605,0.18
201606,0
201607,0
201608,0
201609,0
201610,1.74
201611,1.67
201612,2.75
201701,10.07
201702,6.91
201703,1.44
201704,1.45
201705,0.36
201706,0
201707,0
201708,0.01
201709,0.26
201710,0.07
201711,0.25
201712,0.07
201801,2.47
201802,0.24
201803,6.82
201804,0.33
201805,0.02
201806,0
201807,0
201808,0
201809,0
201810,0.39
201811,3
201812,1.13
201901,5.58
201902,6.38
201903,3.55
201904,0.17
201905,1.47
201906,0.01
201907,0
201908,0
201909,0
201910,0
201911,1.9
201912,4.59
202001,0.61
202002,0.01
202003,4.2
202004,2.58
202005,0.18
202006,0.01
202007,0
202008,0.05
202009,0
202010,0
202011,0.38
202012,1.29
202101,6.16
202102,0.08
202103,1.17
202104,0.08
202105,0.01
202106,0.01
202107,0.01
202108,0
202109,0
202110,1.92
202111,0.14
202112,7.23
202201,0.12
202202,0.05
202203,1.16
202204,0.46
202205,0
202206,0
202207,0
202208,0
202209,0.7
202210,0
202211,1.22
202212,6.82
202301,10.79
202302,4.06
202303,7.74
202304,0
202305,0.54
202306,0.15
202307,0
202308,0.07
202309,0.06
202310,0.02
202311,1.15
202312,4.49
202401,3.07
202402,6.19
202403,3.76
202404,2.56
202405,0.16
202406,0
202407,0
202408,0
202409,0.07
202410,0.01
202411,1.99
202412,0.75
