#  San Mateo County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.07
201402,5.98
201403,2.78
201404,1.83
201405,0.08
201406,0.01
201407,0.04
201408,0.02
201409,0.53
201410,0.74
201411,2.59
201412,13.88
201501,0.01
201502,3.26
201503,0.26
201504,1.51
201505,0.28
201506,0.19
201507,0.05
201508,0.01
201509,0.04
201510,0.1
201511,2.42
201512,5.94
201601,8.05
201602,1.23
201603,8.73
201604,2.15
201605,0.19
201606,0.01
201607,0.02
201608,0.01
201609,0
201610,4.78
201611,2.51
201612,5.4
201701,13.98
201702,10.91
201703,4
201704,3.28
201705,0.01
201706,0.09
201707,0
201708,0.01
201709,0.15
201710,0.37
201711,3.86
201712,0.13
201801,6.24
201802,0.47
201803,6.01
201804,3.13
201805,0.11
201806,0.01
201807,0.01
201808,0
201809,0.01
201810,0.12
201811,4.06
201812,2.56
201901,6.54
201902,10.48
201903,6.03
201904,0.87
201905,2.96
201906,0.03
201907,0.01
201908,0.01
201909,0.11
201910,0.01
201911,1.66
201912,5.62
202001,2.4
202002,0
202003,2.68
202004,1.94
202005,0.7
202006,0.02
202007,0.01
202008,0.09
202009,0
202010,0
202011,0.84
202012,2.27
202101,3.89
202102,1.88
202103,1.94
202104,0.08
202105,0.01
202106,0.03
202107,0.01
202108,0.01
202109,0.06
202110,5.89
202111,1
202112,11.27
202201,0.54
202202,0.1
202203,1.02
202204,2.19
202205,0.05
202206,0.12
202207,0.04
202208,0.03
202209,0.46
202210,0.03
202211,2.43
202212,13.72
202301,11.76
202302,4.97
202303,9.89
202304,0.29
202305,1.61
202306,0.08
202307,0.01
202308,0.11
202309,0.15
202310,0.14
202311,1.78
202312,4.46
202401,7.92
202402,6.74
202403,5.34
202404,1.49
202405,1.46
202406,0
202407,0.02
202408,0.06
202409,0.05
202410,0.1
202411,3.94
202412,6.09
