#  Solano County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.13
201402,5.7
201403,1.96
201404,1.88
201405,0.01
201406,0
201407,0.01
201408,0.04
201409,0.48
201410,0.48
201411,1.74
201412,9.61
201501,0.02
201502,2.54
201503,0.17
201504,1.18
201505,0.09
201506,0.15
201507,0.02
201508,0.01
201509,0.05
201510,0.21
201511,1.59
201512,2.71
201601,6.71
201602,0.62
201603,5.91
201604,1
201605,0.33
201606,0
201607,0
201608,0
201609,0
201610,2.94
201611,1.55
201612,3.8
201701,12.48
201702,9.13
201703,3.05
201704,2.86
201705,0.05
201706,0.26
201707,0
201708,0.01
201709,0.02
201710,0.17
201711,2.48
201712,0.06
201801,3.98
201802,0.29
201803,4.93
201804,2.3
201805,0.06
201806,0
201807,0.01
201808,0
201809,0
201810,0.2
201811,3.32
201812,2.25
201901,5.94
201902,8.8
201903,4.52
201904,0.34
201905,2.39
201906,0
201907,0
201908,0
201909,0.09
201910,0
201911,0.82
201912,5.89
202001,1.41
202002,0
202003,1.42
202004,0.93
202005,0.57
202006,0
202007,0
202008,0.05
202009,0
202010,0
202011,0.65
202012,1.48
202101,2.96
202102,1.08
202103,1.24
202104,0.06
202105,0
202106,0
202107,0
202108,0
202109,0.03
202110,5.28
202111,0.99
202112,6.84
202201,0.36
202202,0.02
202203,0.65
202204,0.87
202205,0.05
202206,0.17
202207,0
202208,0.02
202209,0.71
202210,0
202211,1.39
202212,8.02
202301,9.61
202302,2.91
202303,7.88
202304,0.15
202305,0.54
202306,0.01
202307,0
202308,0.03
202309,0.11
202310,0.44
202311,1.07
202312,3.56
202401,4.31
202402,5.58
202403,2.65
202404,0.91
202405,0.57
202406,0
202407,0
202408,0.02
202409,0
202410,0.12
202411,4.12
202412,4.73
