#  Sonoma County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.25
201402,12.65
201403,5.42
201404,1.84
201405,0.05
201406,0
201407,0.02
201408,0.08
201409,0.89
201410,1.05
201411,4.16
201412,17.78
201501,0.19
201502,5.47
201503,0.28
201504,2.07
201505,0.18
201506,0.18
201507,0.08
201508,0.06
201509,0.62
201510,0.18
201511,2.01
201512,10.11
201601,12.73
201602,1.33
201603,12.23
201604,1.57
201605,0.39
201606,0.15
201607,0
201608,0.01
201609,0
201610,8.13
201611,5.1
201612,7.92
201701,19.58
201702,15.74
201703,4.38
201704,5.3
201705,0.06
201706,0.42
201707,0
201708,0.01
201709,0.13
201710,0.44
201711,6.51
201712,0.19
201801,7.92
201802,0.59
201803,7.9
201804,6.49
201805,0.3
201806,0
201807,0
201808,0.01
201809,0.12
201810,1.54
201811,6.08
201812,5.07
201901,9.67
201902,19.45
201903,8.79
201904,2.4
201905,4.67
201906,0
201907,0
201908,0.02
201909,0.2
201910,0.05
201911,1.59
201912,11.01
202001,3.92
202002,0.01
202003,1.81
202004,1.31
202005,2.04
202006,0
202007,0.01
202008,0.2
202009,0.01
202010,0.02
202011,1.88
202012,3.65
202101,5.44
202102,2.36
202103,3.07
202104,0.23
202105,0.02
202106,0.01
202107,0.02
202108,0.03
202109,0.31
202110,10.17
202111,3.33
202112,10.21
202201,1.03
202202,0.08
202203,1.52
202204,3.29
202205,0.19
202206,0.82
202207,0.02
202208,0.13
202209,1.51
202210,0.05
202211,2.56
202212,12.46
202301,16.85
202302,4.72
202303,14.62
202304,0.8
202305,1.46
202306,0.02
202307,0.01
202308,0.04
202309,0.34
202310,0.98
202311,3.28
202312,9.88
202401,10.4
202402,12.59
202403,6.28
202404,1.29
202405,1.06
202406,0
202407,0
202408,0.14
202409,0.01
202410,0.51
202411,13.4
202412,11.02
