#  Stanislaus County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.41
201402,2.84
201403,1.75
201404,0.89
201405,0.04
201406,0
201407,0
201408,0
201409,0.22
201410,0.51
201411,1.52
201412,6.24
201501,0.02
201502,1.96
201503,0.23
201504,0.77
201505,0.23
201506,0.02
201507,0.01
201508,0.01
201509,0.01
201510,0.39
201511,2.51
201512,2.47
201601,5.05
201602,0.63
201603,4.07
201604,1.94
201605,0.33
201606,0
201607,0
201608,0
201609,0
201610,2.54
201611,1.2
201612,2.28
201701,6.98
201702,4.92
201703,1.8
201704,1.55
201705,0.12
201706,0.02
201707,0
201708,0
201709,0.03
201710,0.12
201711,1.21
201712,0.07
201801,2.89
201802,0.49
201803,3.27
201804,1.77
201805,0.12
201806,0
201807,0
201808,0
201809,0
201810,0.16
201811,2.84
201812,2.03
201901,2.89
201902,4.82
201903,3.01
201904,0.35
201905,1.89
201906,0
201907,0
201908,0
201909,0.09
201910,0
201911,0.69
201912,4.03
202001,0.93
202002,0
202003,2.48
202004,1.22
202005,0.31
202006,0.01
202007,0
202008,0.01
202009,0
202010,0
202011,0.36
202012,1.46
202101,3.81
202102,0.8
202103,1.1
202104,0.06
202105,0
202106,0
202107,0
202108,0
202109,0.02
202110,2.76
202111,0.34
202112,5.31
202201,0.04
202202,0.07
202203,0.87
202204,0.63
202205,0.01
202206,0.01
202207,0.01
202208,0.02
202209,0.26
202210,0
202211,1.36
202212,6.81
202301,6.72
202302,2.56
202303,5.17
202304,0.07
202305,0.54
202306,0
202307,0
202308,0.07
202309,0.06
202310,0.22
202311,0.67
202312,2.73
202401,4.39
202402,4.91
202403,2.71
202404,1.65
202405,0.56
202406,0
202407,0
202408,0.01
202409,0.01
202410,0.02
202411,1.45
202412,2.4
