#  Sutter County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.31
201402,4.55
201403,2.21
201404,1.21
201405,0.14
201406,0
201407,0
201408,0.04
201409,0.45
201410,0.45
201411,1.86
201412,8.81
201501,0.1
201502,2.49
201503,0.17
201504,1.52
201505,0.03
201506,0.03
201507,0.01
201508,0.01
201509,0.04
201510,0.08
201511,2.36
201512,2.03
201601,5.42
201602,0.72
201603,6.8
201604,0.59
201605,0.47
201606,0.01
201607,0
201608,0
201609,0
201610,2.65
201611,1.59
201612,3.14
201701,9.03
201702,7.47
201703,2.63
201704,2.62
201705,0.14
201706,0.47
201707,0
201708,0
201709,0.01
201710,0.29
201711,2.65
201712,0.1
201801,4.38
201802,0.43
201803,4.96
201804,2.37
201805,0.13
201806,0
201807,0
201808,0
201809,0
201810,0.24
201811,2.57
201812,2.53
201901,5.22
201902,9.07
201903,3.94
201904,0.57
201905,3.07
201906,0.02
201907,0
201908,0
201909,0.34
201910,0
201911,0.53
201912,5.47
202001,1.45
202002,0.01
202003,1.27
202004,0.85
202005,0.78
202006,0.02
202007,0
202008,0.05
202009,0
202010,0
202011,0.76
202012,1.38
202101,2.19
202102,1.13
202103,1.49
202104,0.07
202105,0
202106,0
202107,0
202108,0
202109,0.06
202110,4.85
202111,0.77
202112,5.52
202201,0.09
202202,0
202203,0.84
202204,0.74
202205,0.06
202206,0.3
202207,0
202208,0
202209,1.27
202210,0
202211,1.45
202212,6.01
202301,8.92
202302,2.15
202303,5.59
202304,0.27
202305,1.17
202306,0.03
202307,0
202308,0.1
202309,0.29
202310,0.73
202311,0.52
202312,3.35
202401,4.63
202402,6.25
202403,1.97
202404,1.08
202405,0.85
202406,0
202407,0
202408,0.12
202409,0
202410,0.29
202411,5.73
202412,4.07
