#  Tehama County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.5
201402,8.55
201403,7.79
201404,1.3
201405,0.51
201406,0.04
201407,0.08
201408,0.4
201409,1.65
201410,2.05
201411,4.28
201412,15.19
201501,0.25
201502,4.29
201503,1.04
201504,1.76
201505,0.61
201506,0.33
201507,0.18
201508,0.04
201509,0.4
201510,0.62
201511,2.64
201512,7.4
201601,12.23
201602,1.6
201603,9.8
201604,2.07
201605,1.47
201606,1.21
201607,0.01
201608,0
201609,0.02
201610,7.15
201611,5.1
201612,7.33
201701,11.81
201702,11.25
201703,4.12
201704,5.04
201705,0.47
201706,0.47
201707,0
201708,0.05
201709,0.33
201710,0.78
201711,6.19
201712,0.33
201801,5.24
201802,0.32
201803,6.71
201804,5.36
201805,0.93
201806,0.17
201807,0.01
201808,0
201809,0.01
201810,0.9
201811,5.8
201812,5.13
201901,9.32
201902,14.32
201903,8.43
201904,1.99
201905,4.37
201906,0.05
201907,0
201908,0.24
201909,0.92
201910,0.16
201911,1.4
201912,7.24
202001,3.47
202002,0.02
202003,3.96
202004,1.12
202005,3.06
202006,0.29
202007,0.02
202008,0.11
202009,0
202010,0.01
202011,1.52
202012,2.92
202101,4.46
202102,2.67
202103,3.41
202104,0.63
202105,0.15
202106,0.11
202107,0.01
202108,0
202109,0.51
202110,7.73
202111,2.36
202112,7.99
202201,0.62
202202,0.03
202203,1.23
202204,2.43
202205,0.25
202206,1.07
202207,0.01
202208,0.02
202209,1.37
202210,0
202211,3.53
202212,9.13
202301,11.91
202302,4.07
202303,12.65
202304,1.24
202305,1.73
202306,0.4
202307,0
202308,0.43
202309,0.86
202310,0.57
202311,1.82
202312,6.73
202401,7.16
202402,9.78
202403,5.67
202404,2.08
202405,1.44
202406,0
202407,0
202408,0.31
202409,0.34
202410,0.52
202411,10.17
202412,9.03
