#  Trinity County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.54
201402,10.34
201403,11.05
201404,1.58
201405,0.56
201406,0.13
201407,0.23
201408,0.15
201409,2.76
201410,6.07
201411,5.61
201412,15.28
201501,1.79
201502,11.74
201503,2.53
201504,2.03
201505,1.23
201506,0.58
201507,0.76
201508,0.15
201509,0.76
201510,0.92
201511,2.69
201512,18.03
201601,19.74
201602,3.28
201603,14.97
201604,2.92
201605,1.59
201606,0.89
201607,0.05
201608,0.01
201609,0.02
201610,14.03
201611,7.35
201612,10.07
201701,18.3
201702,18.77
201703,7.92
201704,8.72
201705,0.57
201706,1.04
201707,0.01
201708,0.25
201709,0.85
201710,1.28
201711,9.18
201712,0.87
201801,7.62
201802,1.34
201803,8.57
201804,6.18
201805,2.08
201806,0.14
201807,0.15
201808,0
201809,0.24
201810,0.81
201811,6.95
201812,5.68
201901,11.37
201902,20.41
201903,8.91
201904,5.2
201905,4.29
201906,0.13
201907,0.01
201908,0.61
201909,1.24
201910,0.65
201911,2.36
201912,10.96
202001,7.66
202002,0.28
202003,3.92
202004,2.71
202005,4.42
202006,0.49
202007,0.35
202008,0.1
202009,0.14
202010,0.17
202011,2.98
202012,4.92
202101,9.14
202102,6.05
202103,4.21
202104,0.92
202105,0.15
202106,0.28
202107,0.05
202108,0.01
202109,0.99
202110,8.26
202111,4.39
202112,10.36
202201,2.07
202202,0.21
202203,1.52
202204,5.25
202205,1.01
202206,1.12
202207,0.21
202208,0.06
202209,2.18
202210,0.07
202211,5.23
202212,14.43
202301,18.01
202302,5.36
202303,15.56
202304,2.16
202305,2.16
202306,0.61
202307,0.02
202308,0.74
202309,2.19
202310,1.19
202311,3.55
202312,11.1
202401,15.97
202402,14.2
202403,10.26
202404,2.25
202405,1.81
202406,0.15
202407,0
202408,1.07
202409,0.38
202410,1.03
202411,15.64
202412,15.23
