#  Tulare County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.59
201402,2.18
201403,2.37
201404,1.55
201405,0.57
201406,0
201407,0.22
201408,0.36
201409,0.31
201410,0.06
201411,1.55
201412,4.71
201501,0.47
201502,2.29
201503,0.43
201504,0.87
201505,1.76
201506,0.09
201507,1.04
201508,0
201509,0.12
201510,2.45
201511,2.41
201512,3.34
201601,4.99
201602,1.95
201603,3.17
201604,1.75
201605,0.68
201606,0.15
201607,0
201608,0.03
201609,0
201610,1.29
201611,1.07
201612,4.65
201701,12.91
201702,7.37
201703,1.63
201704,2.35
201705,0.56
201706,0.14
201707,0.02
201708,0.33
201709,0.58
201710,0.05
201711,1.28
201712,0.11
201801,1.92
201802,0.77
201803,7.32
201804,1.62
201805,0.37
201806,0
201807,0.28
201808,0
201809,0
201810,0.71
201811,2.16
201812,1.2
201901,4.55
201902,8.13
201903,6.08
201904,0.84
201905,3.31
201906,0.14
201907,0.06
201908,0
201909,0.02
201910,0
201911,2.35
201912,4.05
202001,0.8
202002,0.35
202003,3.89
202004,3.74
202005,0.75
202006,0.04
202007,0
202008,0
202009,0
202010,0
202011,0.67
202012,1.37
202101,3.06
202102,0.65
202103,1.81
202104,0.29
202105,0.08
202106,0
202107,0.14
202108,0
202109,0.04
202110,2.83
202111,0.24
202112,9.32
202201,0.02
202202,0.59
202203,1.72
202204,0.75
202205,0
202206,0.16
202207,0
202208,0.37
202209,0.16
202210,0
202211,1.65
202212,6.92
202301,11.28
202302,6.54
202303,13.03
202304,0.05
202305,0.36
202306,0.17
202307,0.01
202308,0.65
202309,0.08
202310,0.17
202311,0.84
202312,1.58
202401,2.93
202402,7.81
202403,3.83
202404,1.68
202405,0.53
202406,0.01
202407,0.07
202408,0.04
202409,0
202410,0.03
202411,2.86
202412,1.49
