#  Tuolumne County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,2.22
201402,7.45
201403,4.75
201404,2.9
201405,1.05
201406,0.1
201407,0.82
201408,0.35
201409,0.96
201410,0.35
201411,3.43
201412,6.04
201501,0.14
201502,5.12
201503,0.68
201504,3.29
201505,2.7
201506,0.71
201507,0.93
201508,0.09
201509,0.18
201510,2.34
201511,5.17
201512,8.66
201601,9.76
201602,1.84
201603,8.84
201604,3.61
201605,1.43
201606,0.2
201607,0.04
201608,0.02
201609,0.17
201610,8.02
201611,2.88
201612,8.33
201701,22.84
201702,17.66
201703,5.39
201704,7.64
201705,0.89
201706,0.42
201707,0.01
201708,0.56
201709,1.26
201710,0.61
201711,6.87
201712,0.43
201801,4.59
201802,1.07
201803,15.31
201804,4.33
201805,0.91
201806,0
201807,0.23
201808,0.06
201809,0.09
201810,0.79
201811,7.35
201812,2.67
201901,8.22
201902,16.31
201903,8.2
201904,1.64
201905,5.66
201906,0.28
201907,0.23
201908,0
201909,0.57
201910,0.02
201911,2.23
201912,8.76
202001,1.91
202002,0.12
202003,5.88
202004,4.14
202005,2.32
202006,0.27
202007,0.12
202008,0.13
202009,0.17
202010,0.03
202011,2.34
202012,3.64
202101,7.48
202102,2.26
202103,3.25
202104,0.85
202105,0.49
202106,0.68
202107,0.54
202108,0.18
202109,0.09
202110,7.66
202111,1.14
202112,12.98
202201,0.06
202202,0.44
202203,1.47
202204,3.67
202205,0.29
202206,0.3
202207,0.03
202208,0.7
202209,1.77
202210,0.15
202211,3.8
202212,16.81
202301,17.46
202302,7.35
202303,18.02
202304,0.43
202305,1.47
202306,1.21
202307,0.01
202308,0.85
202309,1
202310,0.54
202311,2.59
202312,2.66
202401,5.94
202402,9.93
202403,8.84
202404,2.59
202405,1.52
202406,0.12
202407,0.57
202408,0.2
202409,0.28
202410,0.53
202411,4.79
202412,5.37
