#  Ventura County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.09
201402,4.33
201403,2.25
201404,0.53
201405,0.07
201406,0
201407,0.01
201408,0.12
201409,0
201410,0.29
201411,0.71
201412,6.46
201501,1.97
201502,0.88
201503,0.69
201504,0.32
201505,0.61
201506,0.19
201507,0.29
201508,0
201509,0.53
201510,0.29
201511,0.27
201512,0.78
201601,4.78
201602,1.2
201603,2.78
201604,0.56
201605,0.31
201606,0
201607,0
201608,0
201609,0
201610,0.71
201611,1.15
201612,4.65
201701,10.18
201702,9.24
201703,0.64
201704,0.24
201705,0.22
201706,0.01
201707,0
201708,0.1
201709,0.12
201710,0.02
201711,0.13
201712,0.01
201801,2.87
201802,0.21
201803,6.34
201804,0.1
201805,0.15
201806,0.01
201807,0
201808,0
201809,0
201810,0.22
201811,1.87
201812,2.47
201901,8.17
201902,7.38
201903,4.12
201904,0.11
201905,1.86
201906,0.04
201907,0
201908,0
201909,0.01
201910,0
201911,2.82
201912,6.5
202001,0.51
202002,0.12
202003,5.25
202004,4.22
202005,0.14
202006,0.03
202007,0
202008,0
202009,0
202010,0.01
202011,0.16
202012,1.66
202101,2.4
202102,0.04
202103,1.12
202104,0.05
202105,0.01
202106,0
202107,0.01
202108,0.01
202109,0
202110,1.29
202111,0.01
202112,11.99
202201,0.3
202202,0.09
202203,1.91
202204,0.32
202205,0.01
202206,0.02
202207,0
202208,0
202209,0.38
202210,0.06
202211,1.66
202212,5.32
202301,14.22
202302,6.06
202303,9.4
202304,0.02
202305,0.93
202306,0.22
202307,0
202308,0.35
202309,0.1
202310,0.01
202311,0.6
202312,5.38
202401,2.57
202402,13.47
202403,5.11
202404,1.75
202405,0.11
202406,0.01
202407,0.01
202408,0
202409,0.01
202410,0.02
202411,0.44
202412,0.04
