#  Yolo County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.2
201402,5.33
201403,2.04
201404,1.84
201405,0.04
201406,0
201407,0.01
201408,0.02
201409,0.41
201410,0.42
201411,1.71
201412,9.6
201501,0.06
201502,3.2
201503,0.17
201504,1.31
201505,0.1
201506,0.04
201507,0.02
201508,0.01
201509,0.06
201510,0.18
201511,1.83
201512,2.21
201601,5.95
201602,0.69
201603,6.69
201604,0.75
201605,0.55
201606,0.01
201607,0
201608,0
201609,0
201610,2.93
201611,1.65
201612,3.7
201701,12.72
201702,9.34
201703,2.77
201704,2.9
201705,0.1
201706,0.29
201707,0
201708,0
201709,0.01
201710,0.19
201711,2.33
201712,0.09
201801,4.36
201802,0.35
201803,4.91
201804,2.08
201805,0.18
201806,0
201807,0.01
201808,0
201809,0.01
201810,0.22
201811,3.29
201812,2.43
201901,6.44
201902,10.76
201903,4.84
201904,0.45
201905,3.1
201906,0
201907,0
201908,0
201909,0.26
201910,0
201911,0.54
201912,6.75
202001,1.45
202002,0
202003,1.24
202004,0.89
202005,0.62
202006,0
202007,0
202008,0.04
202009,0
202010,0
202011,0.59
202012,1.53
202101,3.12
202102,0.99
202103,1.29
202104,0.07
202105,0
202106,0
202107,0
202108,0
202109,0.05
202110,5.24
202111,0.91
202112,7.24
202201,0.27
202202,0.01
202203,1
202204,0.84
202205,0.04
202206,0.26
202207,0
202208,0
202209,0.98
202210,0
202211,1.31
202212,6.8
202301,9.44
202302,2.7
202303,7.7
202304,0.22
202305,0.84
202306,0.01
202307,0.01
202308,0.03
202309,0.09
202310,0.66
202311,0.93
202312,3.92
202401,3.94
202402,6.81
202403,2.48
202404,0.97
202405,0.57
202406,0
202407,0
202408,0.02
202409,0
202410,0.2
202411,4.95
202412,4.6
