#  Yuba County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,1.06
201402,10.35
201403,6.45
201404,1.64
201405,0.38
201406,0
201407,0.01
201408,0.17
201409,0.64
201410,1.55
201411,3.79
201412,12.57
201501,0.08
201502,4.42
201503,0.48
201504,2.75
201505,0.17
201506,0.07
201507,0.03
201508,0.03
201509,0.14
201510,0.49
201511,3.75
201512,7.11
201601,11.66
201602,1.67
201603,12.28
201604,1.44
201605,0.88
201606,0.09
201607,0
201608,0
201609,0.01
201610,7.42
201611,3.6
201612,7.68
201701,17.58
201702,16.43
201703,4.78
201704,6.06
201705,0.3
201706,0.56
201707,0
201708,0.01
201709,0.19
201710,0.6
201711,8.01
201712,0.49
201801,6.85
201802,1.1
201803,10.51
201804,4.58
201805,0.34
201806,0.02
201807,0
201808,0
201809,0
201810,0.65
201811,5.62
201812,3.99
201901,9.52
201902,17.61
201903,7.07
201904,2.26
201905,4.51
201906,0.21
201907,0
201908,0
201909,1.22
201910,0.05
201911,1.72
201912,7.98
202001,3.51
202002,0.12
202003,3.93
202004,2.37
202005,2.45
202006,0.1
202007,0
202008,0.05
202009,0
202010,0
202011,2.64
202012,2.85
202101,4.48
202102,2.87
202103,3.31
202104,0.31
202105,0.08
202106,0.02
202107,0.01
202108,0
202109,0.42
202110,8.7
202111,1.81
202112,10.7
202201,0.7
202202,0.09
202203,1.25
202204,3.69
202205,0.24
202206,0.84
202207,0
202208,0.03
202209,1.28
202210,0.01
202211,2.88
202212,12.36
202301,12.57
202302,4.3
202303,10.21
202304,1.06
202305,1.72
202306,0.23
202307,0
202308,0.24
202309,0.61
202310,1.11
202311,1.33
202312,4.6
202401,8.06
202402,9.01
202403,4.88
202404,1.4
202405,1.71
202406,0
202407,0
202408,0.31
202409,0.01
202410,0.5
202411,10.68
202412,7.37
