#  Amador County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.62
201402,1.89
201403,-0.88
201404,-0.73
201405,-1.05
201406,-1.26
201407,-1.7
201408,-0.84
201409,0.6
201410,-1.72
201411,-0.77
201412,1.49
201501,-4.13
201502,-0.56
201503,-3.91
201504,-0.34
201505,0.16
201506,0.05
201507,-1.28
201508,-0.66
201509,-1.27
201510,-0.43
201511,0.92
201512,1.27
201601,2.32
201602,-2.83
201603,1.52
201604,-0.04
201605,-0.56
201606,-0.76
201607,-1.74
201608,-0.9
201609,-1.22
201610,6.58
201611,-2.19
201612,-0.28
201701,7.89
201702,6.46
201703,-0.77
201704,2.33
201705,-0.88
201706,0.04
201707,-1.13
201708,-0.82
201709,-0.45
201710,-1.78
201711,2.03
201712,-3.58
201801,-0.66
201802,-2.85
201803,4.66
201804,0.78
201805,-0.58
201806,-0.78
201807,-1.67
201808,-1.23
201809,-1.43
201810,-1.66
201811,1.34
201812,-1.75
201901,1.07
201902,5.65
201903,1.27
201904,-1.14
201905,6.33
201906,0.84
201907,0.58
201908,-0.18
201909,1.31
201910,-2.14
201911,-1.6
201912,1.55
202001,-2.44
202002,-3.65
202003,1.43
202004,0.13
202005,1.18
202006,0.54
202007,-0.5
202008,-0.66
202009,-1.52
202010,-2.9
202011,-1.44
202012,-1.32
202101,0.01
202102,-1.85
202103,-1.46
202104,-2.66
202105,-2.39
202106,-3.3
202107,-3.2
202108,-1.5
202109,-0.98
202110,8.23
202111,-4.37
202112,2.53
202201,-3.87
202202,-3.28
202203,-2.95
202204,0.36
202205,-1.45
202206,-0.51
202207,-1.18
202208,-0.41
202209,0.89
202210,-2.47
202211,-0.14
202212,6.66
202301,4.96
202302,-0.1
202303,5.2
202304,-2.39
202305,-0.48
202306,-0.8
202307,-0.85
202308,0.09
202309,-0.22
202310,-0.99
202311,-1.27
202312,-1.05
202401,-0.1
202402,1.86
202403,2.05
202404,-0.92
202405,0.03
202406,-0.6
202407,-2.54
202408,-1.24
202409,-1.4
202410,-2.44
202411,-0.13
202412,0.1
