#  Alpine County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.26
201402,1.38
201403,-1.4
201404,-1.53
201405,-0.53
201406,-1.24
201407,0.34
201408,0.91
201409,0.93
201410,-1.69
201411,-1.42
201412,-0.46
201501,-3.8
201502,-0.39
201503,-3.72
201504,-0.61
201505,1.46
201506,0.22
201507,2.52
201508,0.39
201509,-0.75
201510,0.13
201511,0.58
201512,0.65
201601,1.3
201602,-2.36
201603,0.83
201604,-0.21
201605,-0.09
201606,-1.33
201607,-1.87
201608,-1.52
201609,-1.15
201610,7.34
201611,-2.29
201612,-0.11
201701,9.31
201702,5.55
201703,-0.56
201704,3.51
201705,-0.54
201706,-0.28
201707,-1.54
201708,0.75
201709,2.41
201710,-1.63
201711,2.04
201712,-3.06
201801,-1.74
201802,-2.1
201803,5.35
201804,-0.04
201805,-0.27
201806,-1.36
201807,-0.98
201808,-1.48
201809,-1.6
201810,-1.4
201811,0.48
201812,-1.52
201901,1.12
201902,5.37
201903,1.09
201904,-1.41
201905,1.92
201906,-0.24
201907,0.43
201908,-0.75
201909,0.05
201910,-1.91
201911,-1.19
201912,1.08
202001,-2.55
202002,-3.03
202003,0.28
202004,-0.14
202005,-0.6
202006,-0.27
202007,-0.38
202008,-0.26
202009,-1.42
202010,-2.69
202011,-0.49
202012,-1.28
202101,-0.06
202102,-1.8
202103,-1.34
202104,-2.18
202105,-1.44
202106,-1.27
202107,-1.08
202108,-1.38
202109,-1.51
202110,6.93
202111,-2.91
202112,2.56
202201,-3.59
202202,-2.63
202203,-2.87
202204,0.14
202205,-1.3
202206,-0.71
202207,-1.79
202208,0.57
202209,0.6
202210,-2.32
202211,0.22
202212,4.69
202301,5
202302,1.26
202303,5.25
202304,-2.06
202305,-0.89
202306,1.14
202307,-0.56
202308,1.96
202309,0.51
202310,-1.64
202311,-1.18
202312,-1.58
202401,-0.94
202402,1.88
202403,2.08
202404,-1.62
202405,-0.96
202406,-1.64
202407,-1.6
202408,-1.14
202409,-0.91
202410,-1.66
202411,0.01
202412,-0.75
