#  Calaveras County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.56
201402,1.37
201403,-0.92
201404,-0.76
201405,-0.9
201406,-0.97
201407,-1.54
201408,-0.8
201409,0.74
201410,-1.71
201411,-0.62
201412,1.43
201501,-4.06
201502,-0.59
201503,-3.95
201504,-0.68
201505,-0.15
201506,-0.57
201507,-1.59
201508,-0.7
201509,-1.21
201510,-0.46
201511,1.05
201512,1.38
201601,2.05
201602,-2.84
201603,1.94
201604,-0.15
201605,-0.8
201606,-0.71
201607,-1.52
201608,-0.78
201609,-1.12
201610,6.48
201611,-1.71
201612,-0.11
201701,7.2
201702,5.95
201703,-1.09
201704,2.33
201705,-1.01
201706,-0.4
201707,-1.31
201708,-0.96
201709,-0.81
201710,-1.7
201711,1.43
201712,-3.61
201801,-0.9
201802,-2.87
201803,4.2
201804,0.9
201805,-0.89
201806,-0.82
201807,-1.59
201808,-1.21
201809,-1.28
201810,-1.54
201811,1.89
201812,-2.1
201901,0.78
201902,5.32
201903,1.82
201904,-1.26
201905,6.01
201906,1.09
201907,0.77
201908,0.02
201909,0.76
201910,-2.11
201911,-1.58
201912,2.15
202001,-2.59
202002,-3.57
202003,1.16
202004,-0.13
202005,0.9
202006,0.37
202007,-0.5
202008,-0.59
202009,-1.27
202010,-2.8
202011,-1.3
202012,-1.36
202101,0.55
202102,-1.95
202103,-1.42
202104,-2.66
202105,-2.39
202106,-3.34
202107,-3.22
202108,-1.35
202109,-0.89
202110,7.59
202111,-3.95
202112,2.7
202201,-3.87
202202,-3.19
202203,-3.04
202204,0.11
202205,-1.49
202206,-0.79
202207,-1.33
202208,-0.28
202209,1.77
202210,-2.44
202211,-0.34
202212,6.43
202301,4.82
202302,-0.16
202303,5.53
202304,-2.4
202305,-0.66
202306,-1.05
202307,-0.92
202308,0.02
202309,0.04
202310,-1.02
202311,-1.32
202312,-1.06
202401,0
202402,1.62
202403,1.89
202404,-0.6
202405,0.1
202406,-0.34
202407,-2.35
202408,-1.03
202409,-1.32
202410,-2.54
202411,-0.12
202412,-0.19
