#  Contra Costa County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.22
201402,0.35
201403,-1.86
201404,-0.15
201405,-3.69
201406,-3.3
201407,-2.23
201408,-0.97
201409,0.41
201410,-1.48
201411,-1.21
201412,6.53
201501,-3.92
201502,-1.35
201503,-3.95
201504,-0.95
201505,-1.48
201506,-1.08
201507,-1.25
201508,-0.74
201509,-0.86
201510,-2.39
201511,-0.4
201512,-0.38
201601,2.45
201602,-2.83
201603,3.35
201604,0.29
201605,0.39
201606,-0.28
201607,-0.92
201608,-0.61
201609,-0.87
201610,4.37
201611,-0.88
201612,-0.15
201701,7.19
201702,5.12
201703,-0.21
201704,1.92
201705,0.26
201706,0.88
201707,-0.3
201708,-0.73
201709,-0.88
201710,-1.71
201711,0.43
201712,-3.81
201801,-0.7
201802,-3.36
201803,2.17
201804,1.54
201805,-0.2
201806,0.48
201807,-0.24
201808,-0.63
201809,-0.87
201810,-1.75
201811,0.66
201812,-1.39
201901,0.39
201902,4.99
201903,1.83
201904,-1.66
201905,3.18
201906,1.41
201907,-0.09
201908,-0.32
201909,-0.27
201910,-2.09
201911,-2.12
201912,0.32
202001,-2.69
202002,-4.24
202003,-1.67
202004,-1.07
202005,-2.92
202006,-3.37
202007,-2.19
202008,-0.93
202009,-1.2
202010,-2.84
202011,-2.51
202012,-2.59
202101,-2.18
202102,-3.24
202103,-2.85
202104,-3.29
202105,-5.45
202106,-4.54
202107,-2.98
202108,-1.41
202109,-1.01
202110,8.48
202111,-0.66
202112,3.35
202201,-3.63
202202,-3.48
202203,-3.31
202204,-0.82
202205,-2.59
202206,-2.44
202207,-1.78
202208,-1.03
202209,1.03
202210,-2.3
202211,-0.72
202212,6.21
202301,6.25
202302,0.4
202303,5.06
202304,-1.74
202305,0.48
202306,0.07
202307,0.52
202308,-0.48
202309,-0.64
202310,-1.87
202311,-1.97
202312,-0.79
202401,0.27
202402,1.24
202403,0.4
202404,-0.14
202405,1.28
202406,0.22
202407,-1.14
202408,-1.13
202409,-1.05
202410,-2.53
202411,0.22
202412,0.1
