#  Colusa County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.72
201402,1.48
201403,0.11
201404,-0.42
201405,-0.76
201406,-2.12
201407,-1.92
201408,-0.27
201409,1.79
201410,-1.29
201411,0.05
201412,6.56
201501,-4.15
201502,-0.53
201503,-3.51
201504,-0.06
201505,-1.46
201506,-2.1
201507,-1.69
201508,-0.28
201509,-0.67
201510,-2.51
201511,-0.51
201512,-1.01
201601,1.88
201602,-2.78
201603,3.79
201604,-1.14
201605,0.28
201606,-0.89
201607,-1.1
201608,-0.44
201609,-0.97
201610,2.67
201611,0.38
201612,-0.26
201701,5.7
201702,4.15
201703,-0.96
201704,1.58
201705,-0.2
201706,0.81
201707,-0.51
201708,-0.77
201709,-0.93
201710,-1.79
201711,-0.06
201712,-3.91
201801,-1.03
201802,-3.2
201803,0.78
201804,1.65
201805,-0.61
201806,-0.77
201807,-1.21
201808,-0.64
201809,-0.87
201810,-1.1
201811,0.63
201812,-1.28
201901,1.49
201902,6.37
201903,1.98
201904,-1.71
201905,3.64
201906,1.11
201907,-0.8
201908,-0.22
201909,-0.28
201910,-1.95
201911,-2.28
201912,2.26
202001,-2.55
202002,-3.4
202003,-2.24
202004,-1.45
202005,-0.31
202006,-1.93
202007,-1.56
202008,-0.42
202009,-1.11
202010,-2.82
202011,-2.29
202012,-2.38
202101,-1.93
202102,-2.6
202103,-1.6
202104,-2.89
202105,-5.18
202106,-4.71
202107,-2.77
202108,-0.73
202109,-0.86
202110,7.56
202111,-0.8
202112,1.37
202201,-3.92
202202,-3.21
202203,-2.67
202204,-1.57
202205,-2.44
202206,-2.05
202207,-1.61
202208,-0.58
202209,2.95
202210,-2.46
202211,-0.76
202212,1.77
202301,5.41
202302,-0.73
202303,5.44
202304,-1.25
202305,1.57
202306,-0.12
202307,-0.23
202308,-0.19
202309,-0.33
202310,-0.9
202311,-1.98
202312,0.09
202401,0.56
202402,4.39
202403,0.18
202404,0.49
202405,0.41
202406,-0.75
202407,-2.35
202408,-0.24
202409,-1.06
202410,-2.39
202411,4.01
202412,1.38
