#  Del Norte County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.76
201402,0.12
201403,1.18
201404,-1.85
201405,-1.55
201406,-0.93
201407,-1.7
201408,-1.89
201409,2.14
201410,1.08
201411,-1.47
201412,-0.16
201501,-3.16
201502,-0.17
201503,-2.54
201504,-0.83
201505,-2.58
201506,-2.76
201507,-2.57
201508,-0.72
201509,-1
201510,-2.47
201511,0.23
201512,2.84
201601,1.65
201602,-2.13
201603,1.39
201604,-1.05
201605,-2.2
201606,-1.83
201607,-1.25
201608,-1.83
201609,-2.28
201610,9.7
201611,-0.68
201612,0.4
201701,1.79
201702,4.16
201703,1.26
201704,3.91
201705,-1.39
201706,0.01
201707,-0.89
201708,-1.78
201709,-0.59
201710,-1.82
201711,1.05
201712,-1.89
201801,-0.24
201802,-3.03
201803,1.22
201804,1.17
201805,-2.58
201806,-1.04
201807,-2.26
201808,-2.04
201809,-2.04
201810,-2.39
201811,-0.4
201812,-0.53
201901,-0.18
201902,3.91
201903,-2.63
201904,2.77
201905,0.6
201906,-1.98
201907,-1.73
201908,-0.22
201909,3.22
201910,-1.88
201911,-1.45
201912,0.48
202001,1.28
202002,-3.5
202003,-2.92
202004,-1.89
202005,2.42
202006,-0.55
202007,-0.67
202008,-1.6
202009,-1.62
202010,-2.87
202011,0.16
202012,-0.72
202101,1.55
202102,-0.39
202103,-1.54
202104,-2.98
202105,-2.7
202106,0.35
202107,-1.92
202108,-2.09
202109,2.7
202110,1.81
202111,-1.43
202112,-0.27
202201,-2.72
202202,-3.67
202203,-2.71
202204,2.56
202205,1.33
202206,2.56
202207,1.85
202208,-0.4
202209,-1.9
202210,-3.48
202211,-0.17
202212,0.56
202301,-0.01
202302,-1.61
202303,2.01
202304,0.71
202305,-1.64
202306,-1.9
202307,-2.52
202308,-1.87
202309,0.35
202310,-1.18
202311,-0.24
202312,0.14
202401,3.36
202402,0.94
202403,1.56
202404,-2
202405,-1.02
202406,-0.28
202407,-0.86
202408,0.61
202409,-1.75
202410,-1.73
202411,1.88
202412,0.61
