#  El Dorado County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.48
201402,2.66
201403,-0.46
201404,-1.11
201405,-0.96
201406,-1.49
201407,-1.44
201408,-0.38
201409,1.25
201410,-1.65
201411,-0.65
201412,0.93
201501,-4.1
201502,-0.21
201503,-3.82
201504,-0.42
201505,0.22
201506,0.58
201507,-0.02
201508,-0.28
201509,-1.34
201510,-0.8
201511,0.37
201512,1.18
201601,1.81
201602,-2.58
201603,2.24
201604,-0.18
201605,-0.05
201606,-0.83
201607,-1.7
201608,-1.05
201609,-1.36
201610,7.51
201611,-2.79
201612,-0.16
201701,7.95
201702,6.56
201703,-0.76
201704,2.8
201705,-1.04
201706,-0.64
201707,-1.56
201708,-0.92
201709,0.25
201710,-1.78
201711,2.97
201712,-3.15
201801,-0.91
201802,-2.72
201803,5.05
201804,0.63
201805,-0.24
201806,-0.97
201807,-1.6
201808,-1.4
201809,-1.6
201810,-1.63
201811,0.38
201812,-1.35
201901,1.11
201902,6.14
201903,1.12
201904,-1
201905,4.93
201906,-0.29
201907,0
201908,-0.41
201909,1.68
201910,-2.21
201911,-1.48
201912,1.33
202001,-2.27
202002,-3.48
202003,0.63
202004,-0.09
202005,0.73
202006,-0.21
202007,-0.25
202008,-0.71
202009,-1.75
202010,-2.99
202011,-0.49
202012,-1.08
202101,-0.83
202102,-1.78
202103,-1.69
202104,-2.65
202105,-2.33
202106,-3.38
202107,-3.52
202108,-1.89
202109,-1.05
202110,8.31
202111,-4.09
202112,2.16
202201,-3.8
202202,-3.01
202203,-3.19
202204,1.57
202205,-1.4
202206,-0.08
202207,-0.99
202208,-0.6
202209,1.09
202210,-2.67
202211,0.07
202212,4.82
202301,3.97
202302,0.24
202303,5
202304,-2.33
202305,-0.05
202306,0.26
202307,-0.23
202308,0.85
202309,0.53
202310,-1.17
202311,-0.98
202312,-1.05
202401,-0.31
202402,1.37
202403,1.9
202404,-1.59
202405,-0.36
202406,-1.22
202407,-2.44
202408,-1.12
202409,-1.18
202410,-2.21
202411,0.67
202412,-0.46
