#  Fresno County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.64
201402,-2.17
201403,-2.69
201404,-1.91
201405,-4.63
201406,-5.55
201407,-3.29
201408,-1.07
201409,-0.63
201410,-2.03
201411,-1.29
201412,-0.37
201501,-4.04
201502,-2.6
201503,-4.43
201504,-2.69
201505,-2.15
201506,-4.69
201507,-1.82
201508,-1.54
201509,-1.04
201510,0.11
201511,0.8
201512,0.05
201601,2.13
201602,-2.16
201603,0.15
201604,-0.11
201605,0.12
201606,0.57
201607,-1.19
201608,-1.09
201609,-1.1
201610,1.79
201611,-1.15
201612,-0.09
201701,8.94
201702,3.52
201703,-1.63
201704,1.55
201705,-0.13
201706,0.24
201707,-1.18
201708,-0.58
201709,-0.07
201710,-1.6
201711,-1.17
201712,-3.66
201801,-2.9
201802,-3.55
201803,3.34
201804,-0.35
201805,-0.7
201806,-0.61
201807,-0.83
201808,-1.35
201809,-1.36
201810,-0.9
201811,1.18
201812,-2.06
201901,-0.03
201902,3.53
201903,1.13
201904,-1.89
201905,5.61
201906,1.97
201907,1.43
201908,-0.22
201909,-1.15
201910,-1.68
201911,-0.4
201912,0.1
202001,-3.06
202002,-3.49
202003,-0.08
202004,0.82
202005,-0.53
202006,-0.68
202007,-1.21
202008,-1.15
202009,-1.51
202010,-2.36
202011,-1.78
202012,-2.5
202101,-0.5
202102,-3.05
202103,-1.45
202104,-3.01
202105,-3.74
202106,-4.4
202107,-3.51
202108,-1.68
202109,-1.46
202110,3.38
202111,-2.32
202112,3.41
202201,-3.16
202202,-2.92
202203,-2.07
202204,-1.61
202205,-2.19
202206,-2.37
202207,-2.15
202208,-0.21
202209,0.6
202210,-2.16
202211,-0.33
202212,3.09
202301,9.18
202302,1.74
202303,6.27
202304,-2.37
202305,-0.67
202306,-0.31
202307,-0.46
202308,0.81
202309,-0.6
202310,-1.8
202311,-2.11
202312,-2.36
202401,-1.56
202402,2.48
202403,-0.16
202404,-0.24
202405,-0.26
202406,-0.24
202407,-1.78
202408,-1.46
202409,-1.38
202410,-2.3
202411,0.27
202412,-2.19
