#  Glenn County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.73
201402,1.29
201403,1.32
201404,-0.78
201405,-0.73
201406,-1.93
201407,-1.84
201408,0.07
201409,1.98
201410,-1.65
201411,-0.32
201412,6.3
201501,-4.12
201502,-0.64
201503,-3.6
201504,-0.47
201505,-1.41
201506,-2.23
201507,-1.7
201508,-0.65
201509,-0.49
201510,-2.37
201511,-1.36
201512,-0.34
201601,2.91
201602,-2.78
201603,3.12
201604,-1.38
201605,0.61
201606,-0.16
201607,-0.69
201608,-0.51
201609,-1.1
201610,2.16
201611,-0.3
201612,-0.28
201701,4.51
201702,3.56
201703,-0.99
201704,1.09
201705,-0.76
201706,-0.61
201707,-1.22
201708,-0.98
201709,-0.98
201710,-1.7
201711,-0.57
201712,-3.63
201801,-1.64
201802,-2.78
201803,0.04
201804,1.62
201805,-0.71
201806,-0.91
201807,-1.24
201808,-0.82
201809,-1
201810,-0.73
201811,0.79
201812,-1.77
201901,2.08
201902,7.04
201903,2.86
201904,-1.88
201905,3.38
201906,0.79
201907,-0.73
201908,-0.25
201909,0.06
201910,-1.95
201911,-2.15
201912,0.79
202001,-2.72
202002,-3.15
202003,-2.13
202004,-1.82
202005,-0.23
202006,-2.05
202007,-1.66
202008,-0.34
202009,-1.28
202010,-2.67
202011,-2.27
202012,-2.43
202101,-1.8
202102,-2.28
202103,-1.36
202104,-2.36
202105,-4.38
202106,-4.53
202107,-3.01
202108,-0.97
202109,-0.74
202110,6.59
202111,-1.73
202112,0.21
202201,-3.81
202202,-3.06
202203,-2.56
202204,-1.29
202205,-2.11
202206,-1.91
202207,-1.68
202208,-0.78
202209,3.55
202210,-2.44
202211,-0.83
202212,0.69
202301,5.41
202302,-0.9
202303,4.88
202304,-1.33
202305,1.69
202306,-0.04
202307,-0.24
202308,-0.61
202309,0.06
202310,-1.13
202311,-1.72
202312,0.7
202401,-0.18
202402,3.92
202403,-0.03
202404,-0.05
202405,-0.05
202406,-0.77
202407,-2.48
202408,-0.49
202409,-1.04
202410,-2.34
202411,4.59
202412,0.9
