#  Humboldt County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.4
201402,0.28
201403,0.73
201404,-1.93
201405,-2.15
201406,-1.58
201407,-2.2
201408,-1.91
201409,2.38
201410,1.84
201411,-1.81
201412,0.23
201501,-3.94
201502,0.39
201503,-2.94
201504,-0.84
201505,-2.35
201506,-2.11
201507,-2.16
201508,-0.94
201509,-0.98
201510,-2.64
201511,-0.27
201512,2.85
201601,3.08
201602,-2.2
201603,3
201604,-0.98
201605,-1.48
201606,-1.29
201607,-1.3
201608,-1.51
201609,-1.88
201610,7.61
201611,-1.42
201612,-0.35
201701,2.75
201702,4.56
201703,1.11
201704,2.96
201705,-1.35
201706,-0.4
201707,-1.14
201708,-0.83
201709,-0.5
201710,-1.79
201711,1.16
201712,-2.57
201801,-0.33
201802,-2.49
201803,1.39
201804,1.25
201805,-1.6
201806,-1.04
201807,-1.62
201808,-1.6
201809,-1
201810,-2.2
201811,0.1
201812,-1.29
201901,0.15
201902,5.46
201903,-0.45
201904,-0.47
201905,1.94
201906,-1.07
201907,-0.61
201908,-0.51
201909,2.02
201910,-1.7
201911,-1.21
201912,1.12
202001,-0.03
202002,-3.41
202003,-2.51
202004,-1.52
202005,3.28
202006,-0.31
202007,-0.07
202008,-1.04
202009,-1.08
202010,-3.01
202011,-0.65
202012,-0.77
202101,-0.15
202102,-0.69
202103,-1.38
202104,-2.6
202105,-2.56
202106,-1.29
202107,-2.36
202108,-1.87
202109,0.5
202110,1.85
202111,-2.03
202112,-0.26
202201,-3.38
202202,-3.49
202203,-3.25
202204,1.79
202205,0.21
202206,1.2
202207,1.92
202208,-0.19
202209,-0.42
202210,-2.9
202211,0.18
202212,0.69
202301,1.53
202302,-0.42
202303,3.25
202304,-0.66
202305,-1.2
202306,-1.26
202307,-1.69
202308,-1.51
202309,2.09
202310,-1.2
202311,-0.72
202312,0.5
202401,2.92
202402,2.37
202403,2.17
202404,-1.98
202405,0.54
202406,-0.15
202407,-0.04
202408,1.44
202409,-1.68
202410,-1.63
202411,3.18
202412,0.85
