#  Imperial County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.37
201402,-3.21
201403,-2.95
201404,-1.27
201405,-0.67
201406,-0.23
201407,-0.61
201408,3.08
201409,0.75
201410,-2.09
201411,-1.47
201412,-0.49
201501,-1.45
201502,-3.67
201503,-1.21
201504,-1.14
201505,2.43
201506,0.56
201507,1.59
201508,-2.43
201509,-1.16
201510,-1.2
201511,-0.91
201512,-1.64
201601,1.25
201602,-3.18
201603,-2.96
201604,0.57
201605,-0.14
201606,-0.23
201607,-0.77
201608,-2.35
201609,-0.35
201610,-1.7
201611,-1.52
201612,2.93
201701,3.01
201702,3.2
201703,-1.35
201704,-1.46
201705,0.43
201706,-0.23
201707,0.42
201708,-1.47
201709,-0.36
201710,-2
201711,-2.03
201712,-2.56
201801,-2.7
201802,-2.13
201803,-2.21
201804,-1.27
201805,-0.69
201806,-0.23
201807,-0.45
201808,-1.89
201809,-0.44
201810,0.81
201811,-1.25
201812,1.3
201901,0.61
201902,1.18
201903,-0.76
201904,-0.89
201905,-0.04
201906,-0.22
201907,-1.07
201908,-2.53
201909,2.1
201910,-1.5
201911,3.87
201912,0.28
202001,-2.45
202002,-0.74
202003,5.57
202004,2.64
202005,-0.81
202006,-0.22
202007,-1.4
202008,-2.56
202009,-1.81
202010,-2.19
202011,-1.44
202012,-1.95
202101,2.16
202102,-1.55
202103,-1.66
202104,-1.37
202105,-0.74
202106,-0.11
202107,0.9
202108,-0.67
202109,-0.54
202110,-1.21
202111,-2.13
202112,-1.23
202201,-2.64
202202,-2.22
202203,-2.66
202204,-1.39
202205,-0.76
202206,-0.24
202207,-1.25
202208,1.39
202209,4.08
202210,0.12
202211,-0.72
202212,-1.74
202301,0.22
202302,-1.31
202303,0.15
202304,-1.28
202305,-0.4
202306,-0.21
202307,-1.27
202308,4.03
202309,2.55
202310,-1.94
202311,-0.02
202312,-1.64
202401,2.95
202402,1.16
202403,-0.65
202404,-0.89
202405,-0.72
202406,-0.24
202407,-1.35
202408,-2.43
202409,-1.82
202410,-2.3
202411,-1.15
202412,-2.8
