#  Inyo County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.33
201402,-2.62
201403,-1.45
201404,-2.55
201405,-2.26
201406,-2.41
201407,-0.08
201408,1.44
201409,0.24
201410,-1.61
201411,-1.7
201412,0.88
201501,-1.16
201502,-2.35
201503,-3.45
201504,-2.52
201505,-0.25
201506,-2.16
201507,2.96
201508,-1.58
201509,-1.24
201510,4.25
201511,-0.76
201512,-1.57
201601,-0.17
201602,-1.72
201603,-2.26
201604,-0.44
201605,-1.7
201606,-1.69
201607,-1.75
201608,-1.66
201609,-1.17
201610,-0.13
201611,-1.26
201612,-0.04
201701,6.58
201702,2.23
201703,-1.5
201704,1.2
201705,2.8
201706,2.4
201707,-1.29
201708,-0.54
201709,0.18
201710,-1.36
201711,-1.54
201712,-2.46
201801,-1.33
201802,-2.32
201803,0.08
201804,-2.35
201805,-2.06
201806,-2.46
201807,0.55
201808,-1.81
201809,-1.3
201810,0.06
201811,-0.64
201812,-1.26
201901,0.87
201902,2.8
201903,4.03
201904,0.87
201905,4.23
201906,4.1
201907,-0.22
201908,-1.25
201909,-1.1
201910,-1.07
201911,0.89
201912,0.88
202001,-2.15
202002,-2.26
202003,0.53
202004,0.41
202005,-2.87
202006,-1.92
202007,-2.17
202008,-1.93
202009,-1.48
202010,-1.69
202011,-1.37
202012,-1.6
202101,-1.22
202102,-2.54
202103,-1.7
202104,-3.04
202105,-2.92
202106,-2.72
202107,2.07
202108,-1.82
202109,-1.09
202110,0.57
202111,-2.09
202112,2.34
202201,-2.05
202202,-2.17
202203,-2.63
202204,-2.47
202205,-2.25
202206,-1.55
202207,-1.41
202208,3.31
202209,0.93
202210,-1.53
202211,-0.03
202212,0.26
202301,4.62
202302,1.59
202303,3.83
202304,1.03
202305,3.48
202306,4.06
202307,1.05
202308,4.61
202309,0.1
202310,-1.09
202311,-1.1
202312,-1.5
202401,-0.77
202402,4.22
202403,1.16
202404,0.65
202405,0.11
202406,0.12
202407,-1.26
202408,-1.77
202409,-1.41
202410,-1.63
202411,-0.6
202412,-2.44
