#  Kern County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.31
201402,-2.83
201403,-2.45
201404,-2.59
201405,-3.45
201406,-3.2
201407,-2.04
201408,-0.23
201409,-0.96
201410,-1.52
201411,-1.41
201412,1.99
201501,-1.81
201502,-2.56
201503,-3.66
201504,-2.79
201505,-1.59
201506,-2.6
201507,0.27
201508,-0.76
201509,-0.19
201510,0.29
201511,-0.04
201512,-1.18
201601,0.76
201602,-2.44
201603,-1.55
201604,-1.33
201605,-1.92
201606,-2.46
201607,-1.81
201608,-0.8
201609,-0.89
201610,0.04
201611,-0.68
201612,1.86
201701,6.34
201702,2.84
201703,-1.77
201704,-0.51
201705,1.09
201706,0.81
201707,-1.01
201708,-0.54
201709,0.58
201710,-1.39
201711,-1.91
201712,-3.15
201801,-1.72
201802,-2.93
201803,1.16
201804,-1.75
201805,-2.92
201806,-2.83
201807,-1.74
201808,-0.8
201809,-0.97
201810,-1.16
201811,-0.46
201812,-0.89
201901,1.26
201902,2.28
201903,1.31
201904,-0.67
201905,3.07
201906,3.23
201907,0.4
201908,-0.7
201909,-0.83
201910,-1.22
201911,0.87
201912,1.52
202001,-2.41
202002,-3.36
202003,1.07
202004,2.7
202005,-0.69
202006,-1.67
202007,-1.36
202008,-0.7
202009,-1.05
202010,-1.73
202011,-1.4
202012,-2.02
202101,-1.68
202102,-3.42
202103,-1.79
202104,-3.49
202105,-3.9
202106,-3.42
202107,-1.71
202108,-0.81
202109,-0.95
202110,1.93
202111,-2.31
202112,3.37
202201,-2.55
202202,-2.71
202203,-1.59
202204,-2.02
202205,-2.33
202206,-1.65
202207,-1.57
202208,-0.41
202209,0.52
202210,-1.56
202211,0.52
202212,0.75
202301,3.67
202302,3.17
202303,3.94
202304,-0.64
202305,2.59
202306,2.46
202307,2.37
202308,2.04
202309,-0.73
202310,-0.83
202311,-1.56
202312,-1.08
202401,-0.43
202402,3.02
202403,1.39
202404,0.84
202405,1.44
202406,1.19
202407,-1.27
202408,-0.79
202409,-0.93
202410,-1.56
202411,0.15
202412,-3.07
