#  Kings County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.06
201402,-1.57
201403,-3.04
201404,-3.34
201405,-3.71
201406,-2.63
201407,-1.28
201408,-0.18
201409,-0.78
201410,-0.35
201411,-0.1
201412,2.11
201501,-2.66
201502,-2.66
201503,-4.6
201504,-2.38
201505,-1.87
201506,-2.37
201507,-0.74
201508,-0.08
201509,-0.76
201510,0.59
201511,0.38
201512,-0.02
201601,1.4
201602,-2.78
201603,-1.31
201604,-1.94
201605,-1.55
201606,-1.67
201607,-1.15
201608,-0.18
201609,-0.75
201610,1.55
201611,-0.17
201612,0.15
201701,4.63
201702,2.4
201703,-0.98
201704,0.9
201705,2.45
201706,1.72
201707,-0.6
201708,-0.2
201709,-0.38
201710,-1.29
201711,-2.22
201712,-2.99
201801,-1.95
201802,-3.23
201803,1.02
201804,-1.7
201805,-3.18
201806,-2.47
201807,-1.32
201808,-0.18
201809,-0.76
201810,-1.1
201811,0.91
201812,-2.08
201901,-0.57
201902,1.58
201903,0.31
201904,-1.33
201905,2.05
201906,-0.2
201907,-0.75
201908,-0.19
201909,-0.72
201910,-1.19
201911,-0.29
201912,1.24
202001,-1.97
202002,-3.51
202003,0.87
202004,0.65
202005,-3.15
202006,-2.29
202007,-1.16
202008,-0.2
202009,-0.84
202010,-1.75
202011,-1.4
202012,-2.28
202101,1.05
202102,-3.05
202103,-1.61
202104,-3.07
202105,-2.99
202106,-2.46
202107,-1.31
202108,-0.19
202109,-0.79
202110,2.05
202111,-1.97
202112,4.2
202201,-2.71
202202,-2.89
202203,-1.59
202204,-2.2
202205,-1.91
202206,-1.34
202207,-0.98
202208,-0.1
202209,-0.41
202210,-1.63
202211,-0.27
202212,2.7
202301,4.32
202302,4.68
202303,5.11
202304,0.49
202305,4.57
202306,3.37
202307,2.22
202308,0.6
202309,-0.64
202310,-1.32
202311,-1.84
202312,-0.12
202401,-0.89
202402,2.81
202403,0.42
202404,0.74
202405,0.05
202406,-0.27
202407,-1.28
202408,-0.18
202409,-0.77
202410,-1.77
202411,1.7
202412,-2.05
