#  Los Angeles County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.2
201402,-1
201403,-1.82
201404,-2.94
201405,-4.5
201406,-3.9
201407,-2.74
201408,-0.67
201409,-0.94
201410,-1.43
201411,-1.67
201412,1.74
201501,-1.84
201502,-2.61
201503,-2.98
201504,-2.86
201505,-1.32
201506,-2.85
201507,-0.99
201508,-1.09
201509,2.5
201510,-0.17
201511,-1.64
201512,-1.73
201601,-0.29
201602,-2.67
201603,-1.24
201604,-2.72
201605,-2.46
201606,-3.36
201607,-2.48
201608,-1.25
201609,-0.93
201610,-0.21
201611,-0.95
201612,1.14
201701,4.64
201702,1.17
201703,-2.73
201704,-1.97
201705,-0.71
201706,-1.28
201707,-1.71
201708,-0.84
201709,-0.09
201710,-1.57
201711,-2.43
201712,-3.23
201801,-2.13
201802,-2.64
201803,0.93
201804,-2.66
201805,-2.85
201806,-3.11
201807,-2.7
201808,-1.36
201809,-1.05
201810,-0.36
201811,-0.41
201812,-0.51
201901,2.08
201902,2.97
201903,0.09
201904,-1.45
201905,2.23
201906,1.69
201907,0.55
201908,-0.43
201909,-0.74
201910,-1.35
201911,0.87
201912,2.46
202001,-2.47
202002,-2.93
202003,2.35
202004,4.21
202005,1.59
202006,1.38
202007,0.35
202008,-0.34
202009,-1.06
202010,-1.68
202011,-1.89
202012,-1.57
202101,-1.75
202102,-2.9
202103,-1.62
202104,-3.89
202105,-4.41
202106,-4.36
202107,-2.74
202108,-1.25
202109,-1.01
202110,0.82
202111,-2.59
202112,4.94
202201,-2.2
202202,-2.65
202203,-1.65
202204,-1.88
202205,-1.64
202206,-1.54
202207,-1.71
202208,-1.23
202209,0.54
202210,-1.12
202211,0.64
202212,0.32
202301,5.61
202302,1.61
202303,4.42
202304,-1.36
202305,1.31
202306,0.88
202307,1.33
202308,1.21
202309,-0.27
202310,-1.34
202311,-1.51
202312,-0.55
202401,-1.47
202402,6.01
202403,1.4
202404,-0.08
202405,0.97
202406,0.9
202407,-0.63
202408,-1.17
202409,-1.03
202410,-1.59
202411,-1.91
202412,-3.14
