#  Lake County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.22
201402,2.21
201403,1.29
201404,-1.12
201405,-1.64
201406,-1.83
201407,-2.12
201408,-0.62
201409,0.99
201410,-1.31
201411,-0.01
201412,3.37
201501,-4.14
201502,-0.47
201503,-3.64
201504,-1.46
201505,-1.59
201506,-2.11
201507,-2.04
201508,-0.63
201509,0.34
201510,-2.74
201511,-1.05
201512,1.69
201601,2.6
201602,-2.25
201603,4.85
201604,-1.63
201605,-0.54
201606,-0.97
201607,-1.35
201608,-0.9
201609,-1.27
201610,4.99
201611,-1.82
201612,-0.41
201701,6.01
201702,3.93
201703,-0.82
201704,2.18
201705,-1.68
201706,-1.19
201707,-1.7
201708,-1.34
201709,-1.24
201710,-2.29
201711,0.88
201712,-3.24
201801,-0.22
201802,-2.67
201803,1.01
201804,1.97
201805,-1.31
201806,-1.28
201807,-1.71
201808,-1.28
201809,-0.91
201810,-1.32
201811,0.45
201812,-1.28
201901,1.15
201902,5.41
201903,1.94
201904,-1.27
201905,5.72
201906,0.67
201907,0.5
201908,0.58
201909,-0.25
201910,-2.46
201911,-1.7
201912,1.66
202001,-1.81
202002,-3
202003,-2.22
202004,-1.58
202005,1.77
202006,0.11
202007,-0.75
202008,0.17
202009,-1.4
202010,-3.17
202011,-1.47
202012,-0.83
202101,-0.91
202102,-1.66
202103,-1.41
202104,-2.49
202105,-2.54
202106,-3.32
202107,-3.17
202108,-1.65
202109,-0.75
202110,7.53
202111,-3.8
202112,0.06
202201,-3.71
202202,-2.87
202203,-2.98
202204,-0.3
202205,-1
202206,0.17
202207,-0.51
202208,-0.67
202209,2.32
202210,-2.76
202211,-0.85
202212,2.09
202301,4.19
202302,-0.66
202303,5.33
202304,-1.71
202305,1.35
202306,-0.07
202307,-0.2
202308,-0.51
202309,-0.21
202310,-1.42
202311,-0.81
202312,0.91
202401,0.51
202402,2.7
202403,1.22
202404,-0.71
202405,-0.27
202406,-0.8
202407,-2.13
202408,-0.27
202409,-1.42
202410,-2.56
202411,3.72
202412,0.54
