#  Lassen County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.05
201402,-2.18
201403,0.23
201404,-0.67
201405,-1.2
201406,-2.3
201407,-2.39
201408,0.03
201409,-0.66
201410,-0.76
201411,-0.94
201412,2.12
201501,-3.38
201502,-0.83
201503,-3.48
201504,-1.12
201505,1.8
201506,-0.74
201507,0.86
201508,-0.71
201509,-0.91
201510,-0.99
201511,0.06
201512,1.57
201601,2.84
201602,-2.05
201603,1.67
201604,-0.23
201605,0.97
201606,-0.48
201607,-0.87
201608,-1.23
201609,-1.55
201610,3.82
201611,-0.76
201612,1.27
201701,5.94
201702,5.59
201703,-0.22
201704,3.54
201705,-1.72
201706,-1.21
201707,-1.73
201708,0.08
201709,-0.52
201710,-1.17
201711,1.16
201712,-2.58
201801,-1.2
201802,-2.58
201803,1.77
201804,3.14
201805,2.02
201806,-0.71
201807,-0.18
201808,-1.46
201809,-1.66
201810,-0.43
201811,-0.77
201812,-0.91
201901,1.09
201902,5.07
201903,1.25
201904,0.46
201905,2.99
201906,-0.43
201907,0.17
201908,-0.24
201909,2.72
201910,-1.42
201911,-2.97
201912,0.16
202001,-1.19
202002,-3.35
202003,-0.45
202004,-1.36
202005,-0.18
202006,-1.33
202007,-1.56
202008,-1.5
202009,-2.03
202010,-2.68
202011,-1.71
202012,-1.23
202101,-0.93
202102,-1.3
202103,-0.84
202104,-1.97
202105,-2.25
202106,-3
202107,-3.49
202108,-2.31
202109,-0.17
202110,4.57
202111,-2.08
202112,2.69
202201,-2.66
202202,-2.6
202203,-2.63
202204,2.01
202205,-1.03
202206,0.76
202207,-0.26
202208,-0.88
202209,0.66
202210,-2.3
202211,-0.94
202212,1.33
202301,2.26
202302,-1.03
202303,5.37
202304,-1.51
202305,1.8
202306,2.19
202307,1.29
202308,0.94
202309,1.87
202310,-1.66
202311,-1.45
202312,-2.24
202401,-1.31
202402,1.54
202403,3.03
202404,-0.23
202405,-1.51
202406,-2.32
202407,-2.92
202408,-1.32
202409,-1.59
202410,-0.62
202411,1.78
202412,0.13
