#  Madera County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.98
201402,-2.15
201403,-2.71
201404,-1.57
201405,-3.89
201406,-5.02
201407,-3.09
201408,-1.07
201409,-0.19
201410,-2.1
201411,-1.52
201412,-0.12
201501,-3.99
201502,-2.74
201503,-4.45
201504,-1.53
201505,-2.01
201506,-4.41
201507,-1.86
201508,-1.3
201509,-0.68
201510,-0.25
201511,0.58
201512,0.5
201601,2.08
201602,-2.47
201603,0.63
201604,0.09
201605,-0.28
201606,0.26
201607,-1.1
201608,-0.89
201609,-1.02
201610,2.24
201611,-1.18
201612,0.58
201701,7.35
201702,3.37
201703,-1.45
201704,1.14
201705,-0.86
201706,-0.38
201707,-1.36
201708,0.32
201709,0.82
201710,-1.59
201711,-0.93
201712,-3.4
201801,-2.42
201802,-3.47
201803,4.1
201804,-0.18
201805,-0.71
201806,-0.41
201807,-0.97
201808,-1.11
201809,-1.19
201810,-1.08
201811,1.33
201812,-2.2
201901,0.46
201902,2.75
201903,0.59
201904,-1.8
201905,4.9
201906,1.83
201907,1.54
201908,0.08
201909,-0.99
201910,-1.72
201911,-1.76
201912,-0.61
202001,-3.2
202002,-3.83
202003,-0.84
202004,0.59
202005,-0.93
202006,-1.33
202007,-1.43
202008,-0.86
202009,-1.38
202010,-2.45
202011,-1.7
202012,-2.07
202101,-0.52
202102,-2.98
202103,-2.01
202104,-2.6
202105,-3
202106,-3.9
202107,-2.86
202108,-0.52
202109,-1.34
202110,3.52
202111,-2.22
202112,3.32
202201,-3.44
202202,-3.08
202203,-2.3
202204,-0.63
202205,-1.62
202206,-1.95
202207,-1.97
202208,-0.16
202209,0.44
202210,-2.2
202211,-0.54
202212,2.98
202301,5.5
202302,0.76
202303,6.03
202304,-2.38
202305,-0.43
202306,-0.52
202307,-0.62
202308,0.83
202309,-0.01
202310,-1.98
202311,-1.76
202312,-2.69
202401,-0.97
202402,1.26
202403,0.1
202404,0.12
202405,-0.02
202406,-0.04
202407,-1.53
202408,-1.3
202409,-1.14
202410,-2.36
202411,0.37
202412,-1.85
