#  Mendocino County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.03
201402,1.61
201403,1.83
201404,-1.33
201405,-1.91
201406,-1.73
201407,-2.02
201408,-1.03
201409,1.08
201410,-0.3
201411,0.17
201412,2.29
201501,-4.2
201502,-0.59
201503,-3.61
201504,-0.73
201505,-1.6
201506,-1.54
201507,-1.69
201508,-0.76
201509,0.26
201510,-3.02
201511,-0.74
201512,2.88
201601,2.71
201602,-2.3
201603,4.42
201604,-1.42
201605,-0.72
201606,-0.4
201607,-0.99
201608,-0.94
201609,-1.39
201610,5.52
201611,-1.69
201612,-0.3
201701,4.28
201702,3.73
201703,-0.64
201704,1.95
201705,-1.73
201706,-1.2
201707,-1.63
201708,-1.45
201709,-1.23
201710,-2.2
201711,1.24
201712,-3.27
201801,-0.3
201802,-2.88
201803,0.89
201804,3.04
201805,-1.49
201806,-1.23
201807,-1.54
201808,-1.32
201809,-1.04
201810,-1.56
201811,0.25
201812,-1.07
201901,0.29
201902,5.17
201903,1.54
201904,-1.3
201905,5.02
201906,-0.03
201907,0.17
201908,0.47
201909,0.08
201910,-2.45
201911,-1.55
201912,0.84
202001,-1.32
202002,-3.33
202003,-2.1
202004,-1.76
202005,1.19
202006,-0.17
202007,-0.79
202008,-0.27
202009,-1.41
202010,-3.36
202011,-1.19
202012,-0.77
202101,-0.78
202102,-1.61
202103,-1.75
202104,-2.36
202105,-2.48
202106,-2.48
202107,-2.82
202108,-1.81
202109,-0.54
202110,6.68
202111,-3.5
202112,0.29
202201,-3.84
202202,-3.21
202203,-3.1
202204,1.12
202205,-0.65
202206,0.98
202207,0.19
202208,-0.55
202209,2.84
202210,-2.85
202211,-0.34
202212,1.73
202301,2.94
202302,-0.65
202303,3.99
202304,-1.37
202305,0.7
202306,-0.18
202307,-0.41
202308,-0.51
202309,0.1
202310,-1.64
202311,-0.83
202312,0.92
202401,1.51
202402,2.21
202403,1.21
202404,-0.92
202405,0.26
202406,-0.35
202407,-1.22
202408,0.34
202409,-1.27
202410,-2.54
202411,3.07
202412,0.94
