#  Merced County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.36
201402,-1.54
201403,-1.9
201404,-2.8
201405,-4.78
201406,-3.62
201407,-2.18
201408,-0.53
201409,-0.71
201410,-1.28
201411,-0.48
201412,2.94
201501,-3.19
201502,-2.25
201503,-4.22
201504,-2.1
201505,-2.1
201506,-2.7
201507,-1.66
201508,-0.28
201509,-0.89
201510,-0.91
201511,2.01
201512,0.02
201601,4.1
201602,-2.29
201603,1.67
201604,1.81
201605,2.37
201606,1.63
201607,-0.62
201608,-0.37
201609,-0.86
201610,3.15
201611,-1.35
201612,-0.62
201701,5.77
201702,3.09
201703,-0.72
201704,0.66
201705,1.57
201706,0.82
201707,-0.66
201708,-0.59
201709,-0.78
201710,-1.36
201711,-1.6
201712,-3.62
201801,-1.29
201802,-3.16
201803,1.39
201804,-0.4
201805,-2.86
201806,-2.49
201807,-1.76
201808,-0.51
201809,-0.87
201810,-1.62
201811,1.38
201812,-1.14
201901,-0.36
201902,2.48
201903,0.76
201904,-1.35
201905,2.68
201906,2.06
201907,0.09
201908,-0.2
201909,-0.71
201910,-1.58
201911,-1.56
201912,2.21
202001,-2.28
202002,-3.6
202003,0.05
202004,-0.39
202005,-2.53
202006,-2.39
202007,-1.49
202008,-0.49
202009,-0.95
202010,-2.05
202011,-1.26
202012,-1.69
202101,1.47
202102,-2.79
202103,-1.61
202104,-3
202105,-3.14
202106,-2.71
202107,-1.88
202108,-0.54
202109,-0.89
202110,2.83
202111,-2.18
202112,3.34
202201,-3.18
202202,-3.3
202203,-2.39
202204,-1.51
202205,-2.74
202206,-2.48
202207,-1.65
202208,-0.4
202209,-0.02
202210,-1.93
202211,-0.07
202212,4.56
202301,7.33
202302,1.49
202303,4.61
202304,-1
202305,2.4
202306,1.86
202307,1.89
202308,0.05
202309,-0.66
202310,-1.68
202311,-1.34
202312,-0.11
202401,1.36
202402,3.1
202403,0.63
202404,1.46
202405,2.86
202406,2.63
202407,-0.52
202408,-0.54
202409,-0.94
202410,-2.19
202411,0
202412,-1.31
