#  Mono County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.4
201402,-1.74
201403,-2.46
201404,-2.22
201405,-2.03
201406,-3.98
201407,-1.85
201408,0
201409,-0.47
201410,-2.25
201411,-2.19
201412,-1.45
201501,-4.25
201502,-3.09
201503,-4.87
201504,-2.52
201505,1.42
201506,-2.55
201507,-0.26
201508,-2.03
201509,-1.33
201510,0.78
201511,0.62
201512,-0.41
201601,0.43
201602,-1.7
201603,-0.49
201604,1
201605,0.84
201606,1.03
201607,-0.9
201608,-1.68
201609,-0.97
201610,3.34
201611,-1.77
201612,-0.48
201701,9.43
201702,4.51
201703,-0.72
201704,2.91
201705,0.09
201706,-0.48
201707,-1.65
201708,0.17
201709,0.73
201710,-1.53
201711,0.63
201712,-2.93
201801,-3.02
201802,-3.03
201803,2.95
201804,0.02
201805,0.62
201806,-0.56
201807,1.39
201808,-1.16
201809,-1.48
201810,-0.69
201811,0.09
201812,-2.01
201901,0.4
201902,4.24
201903,1.93
201904,-1.85
201905,2.66
201906,0.27
201907,0.53
201908,-1.13
201909,-0.94
201910,-1.46
201911,-1.14
201912,-0.6
202001,-2.88
202002,-3.47
202003,-0.93
202004,0.42
202005,-1.82
202006,-1.87
202007,-2.36
202008,-1.2
202009,-1.78
202010,-2.38
202011,-1.4
202012,-2
202101,-0.9
202102,-2.37
202103,-1.83
202104,-2.44
202105,-2.25
202106,-2.78
202107,-0.87
202108,-1.59
202109,-1.86
202110,5
202111,-1.98
202112,3.53
202201,-1.91
202202,-2.1
202203,-2.14
202204,-1.21
202205,-1.64
202206,-1.83
202207,-1.94
202208,2.75
202209,1.73
202210,-1.85
202211,0.25
202212,4.31
202301,8.42
202302,2.21
202303,7.13
202304,-1.71
202305,-0.65
202306,1.39
202307,-0.48
202308,2.71
202309,0.71
202310,-0.95
202311,-1.57
202312,-2.69
202401,-2.46
202402,1.5
202403,1.72
202404,-1.37
202405,-1.24
202406,-1.97
202407,-1.06
202408,-1.73
202409,-0.91
202410,-1.7
202411,-0.09
202412,-1.78
