#  Modoc County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.61
201402,-2.01
201403,0.76
201404,-1.14
201405,-1.76
201406,-2.31
201407,-2.7
201408,-0.85
201409,-1.09
201410,0.52
201411,-0.6
201412,1.02
201501,-3.35
201502,-2.32
201503,-3.5
201504,-1.66
201505,1.09
201506,-2.4
201507,-0.49
201508,-1.42
201509,-0.45
201510,-1.45
201511,-0.52
201512,3.35
201601,2.91
201602,-1.93
201603,0.99
201604,-1.05
201605,0.91
201606,-0.38
201607,-1.1
201608,-1.46
201609,-1.67
201610,2.29
201611,-1.44
201612,0.91
201701,3.02
201702,4.17
201703,-0.21
201704,1.9
201705,-1.65
201706,-0.8
201707,-1.2
201708,-0.72
201709,-0.66
201710,-1.02
201711,1.01
201712,-2.54
201801,-1.8
201802,-2.18
201803,1.02
201804,2.6
201805,1.71
201806,-0.67
201807,-0.47
201808,-1.62
201809,-1.75
201810,-0.2
201811,-0.93
201812,-0.71
201901,0.26
201902,3.86
201903,1.22
201904,1.52
201905,2.42
201906,-1.04
201907,-0.43
201908,-0.27
201909,2.87
201910,-1.05
201911,-3.15
201912,-0.63
202001,0.65
202002,-2.68
202003,0.26
202004,-1.77
202005,0.01
202006,-0.83
202007,-1.52
202008,-1.47
202009,-2.29
202010,-2.52
202011,-1.02
202012,-1.47
202101,-1.89
202102,-0.88
202103,-1.77
202104,-1.81
202105,-2.48
202106,-3.68
202107,-4.4
202108,-2.56
202109,1.69
202110,2.75
202111,-2.56
202112,0.82
202201,-2.91
202202,-3.56
202203,-3.7
202204,1.99
202205,-0.67
202206,-0.26
202207,-1.61
202208,-1.3
202209,0.14
202210,-2.37
202211,0.16
202212,2.68
202301,0.69
202302,0.03
202303,4.44
202304,-1.07
202305,1.38
202306,1.24
202307,0.2
202308,1.41
202309,1.11
202310,-1.42
202311,-0.83
202312,-2.18
202401,-0.24
202402,0.3
202403,2.05
202404,0.39
202405,-1.02
202406,-2.19
202407,-2.84
202408,-1.1
202409,-1.33
202410,-0.63
202411,1.94
202412,1.36
