#  Monterey County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.03
201402,-0.4
201403,-1.75
201404,-0.91
201405,-4.05
201406,-3.33
201407,-2.55
201408,-1.39
201409,-0.77
201410,-0.98
201411,-0.49
201412,4.59
201501,-3.68
201502,-1.77
201503,-3.65
201504,-1.03
201505,-1.16
201506,-1.57
201507,-1.25
201508,-0.84
201509,-1.01
201510,-1.38
201511,1.23
201512,-0.15
201601,2.58
201602,-2.48
201603,1.43
201604,-1.4
201605,-0.29
201606,-0.76
201607,-1.14
201608,-0.72
201609,-0.93
201610,3.38
201611,-0.49
201612,-1.03
201701,7.35
201702,3.05
201703,-1.42
201704,0.09
201705,0.1
201706,0.15
201707,-0.53
201708,-0.67
201709,-0.82
201710,-1.67
201711,-1.67
201712,-3.9
201801,-1.24
201802,-3.33
201803,3.27
201804,-0.58
201805,-0.14
201806,-0.27
201807,-0.56
201808,-0.86
201809,-0.96
201810,-1.34
201811,1.87
201812,-1.04
201901,0.73
201902,4.4
201903,0.38
201904,-1.96
201905,3.63
201906,1.16
201907,0.07
201908,-0.23
201909,-0.8
201910,-1.82
201911,-0.13
201912,4.52
202001,-2.25
202002,-3.12
202003,0.96
202004,1.11
202005,0.86
202006,0.7
202007,-0.01
202008,-0.09
202009,-1.06
202010,-2.41
202011,-2.02
202012,-2.56
202101,2.65
202102,-2.74
202103,-1.35
202104,-2.22
202105,-1.71
202106,-1.76
202107,-1.59
202108,-1.08
202109,-1.06
202110,3.53
202111,-2.55
202112,4.33
202201,-3.47
202202,-3.01
202203,-2.08
202204,-1.44
202205,-2.21
202206,-2.06
202207,-1.9
202208,-1.05
202209,0.97
202210,-1.87
202211,0.06
202212,4.54
202301,6.14
202302,0.08
202303,4.92
202304,-2.07
202305,0.86
202306,0.33
202307,0.37
202308,-0.17
202309,-0.52
202310,-1.79
202311,-1.3
202312,1.32
202401,0.28
202402,3.28
202403,0.9
202404,0.79
202405,1.19
202406,1.38
202407,0.14
202408,-0.67
202409,-0.16
202410,-2.27
202411,0.7
202412,-1.93
