#  Mariposa County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.28
201402,-1.03
201403,-1.56
201404,-1.23
201405,-1.95
201406,-2.61
201407,-1.93
201408,-0.95
201409,0.04
201410,-2.32
201411,-1.28
201412,0.08
201501,-3.97
201502,-2.06
201503,-3.88
201504,-1.18
201505,-0.45
201506,-1.83
201507,-0.86
201508,-0.79
201509,-1.17
201510,-0.23
201511,0.54
201512,0.51
201601,1.46
201602,-2.63
201603,1.41
201604,0.07
201605,-0.49
201606,-0.3
201607,-1.52
201608,-1.02
201609,-1.23
201610,3.79
201611,-1.75
201612,0.51
201701,5.94
201702,3.09
201703,-0.88
201704,1.55
201705,-1.13
201706,-0.64
201707,-1.56
201708,0.35
201709,0.73
201710,-1.72
201711,-0.12
201712,-3.06
201801,-1.69
201802,-2.57
201803,5.15
201804,0.26
201805,-0.86
201806,-0.84
201807,-1.5
201808,-1.21
201809,-1.27
201810,-1.01
201811,1.52
201812,-2.16
201901,0.32
201902,3.21
201903,0.76
201904,-1.8
201905,5.37
201906,1.07
201907,0.98
201908,0.1
201909,-0.64
201910,-1.98
201911,-1.69
201912,0.69
202001,-2.93
202002,-3.2
202003,-0.21
202004,0.33
202005,0.82
202006,0.26
202007,-0.56
202008,-0.65
202009,-1.45
202010,-2.67
202011,-1.57
202012,-1.22
202101,-0.63
202102,-2.35
202103,-1.86
202104,-2.35
202105,-2.08
202106,-2.79
202107,-2.66
202108,-0.76
202109,-1.52
202110,4.45
202111,-3.09
202112,2.81
202201,-3.82
202202,-2.96
202203,-2.65
202204,-0.12
202205,-1.59
202206,-1.16
202207,-1.62
202208,-0.4
202209,0.93
202210,-2.32
202211,-0.32
202212,3.63
202301,5.55
202302,0.22
202303,7.27
202304,-2.47
202305,-0.51
202306,-0.25
202307,-0.62
202308,0.54
202309,0.46
202310,-2.15
202311,-1.23
202312,-1.73
202401,-0.15
202402,1.59
202403,0.88
202404,-0.07
202405,0.06
202406,-0.28
202407,-1.53
202408,-1.2
202409,-1.32
202410,-2.44
202411,0.26
202412,-1.17
