#  Marin County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.47
201402,3.06
201403,-0.9
201404,-0.59
201405,-1.17
201406,-1.15
201407,-0.95
201408,-0.87
201409,0.22
201410,-1.68
201411,-0.66
201412,6.24
201501,-4.8
201502,-1.65
201503,-4.01
201504,-0.83
201505,-1.62
201506,-1.34
201507,-1.31
201508,-1.33
201509,-0.68
201510,-2.81
201511,-1.77
201512,1.3
201601,1.66
201602,-3.02
201603,3.56
201604,-1.21
201605,-1.01
201606,-1.36
201607,-1.16
201608,-0.97
201609,-1.12
201610,5.44
201611,-0.85
201612,-0.42
201701,5.5
201702,4.45
201703,-0.51
201704,2.26
201705,-1.01
201706,-0.04
201707,-0.51
201708,-0.88
201709,-1.02
201710,-2.37
201711,0.33
201712,-3.91
201801,-0.48
201802,-3.25
201803,2.69
201804,2.67
201805,-0.81
201806,-0.4
201807,-0.46
201808,-0.69
201809,-0.88
201810,-0.95
201811,0.27
201812,-2
201901,0.02
201902,5.37
201903,1.88
201904,-1.58
201905,4.84
201906,1.07
201907,1.14
201908,0.1
201909,-0.6
201910,-2.49
201911,-2.15
201912,2.76
202001,-2.58
202002,-3.61
202003,-2.17
202004,-1.19
202005,0.11
202006,-1.42
202007,-1.25
202008,-0.6
202009,-1.44
202010,-3.04
202011,-2.01
202012,-1.49
202101,-2
202102,-2.58
202103,-2.22
202104,-2.54
202105,-3.04
202106,-3.09
202107,-2.37
202108,-1.74
202109,-0.98
202110,8.46
202111,-1.86
202112,1.39
202201,-4.08
202202,-3.38
202203,-3.23
202204,-0.17
202205,-1.9
202206,-0.9
202207,-1.27
202208,-1.11
202209,1.43
202210,-2.45
202211,-1.62
202212,4.36
202301,3.42
202302,-0.59
202303,5.49
202304,-1.77
202305,0.51
202306,-0.42
202307,-0.15
202308,-0.54
202309,-0.42
202310,-2
202311,-1.09
202312,0.81
202401,0.55
202402,1.75
202403,0.31
202404,-1.2
202405,0.46
202406,-0.63
202407,-0.85
202408,-0.93
202409,-1.24
202410,-2.5
202411,4.29
202412,0.45
