#  Napa County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.22
201402,2.7
201403,-1.05
201404,-0.38
201405,-1.14
201406,-1.48
201407,-1.42
201408,-0.72
201409,0.42
201410,-1.46
201411,-1.02
201412,5.16
201501,-4.61
201502,-0.9
201503,-4.05
201504,-0.79
201505,-1.68
201506,-1.99
201507,-1.61
201508,-0.96
201509,-0.3
201510,-2.43
201511,-1.45
201512,0.13
201601,1.79
201602,-2.77
201603,4.34
201604,-1.14
201605,-0.69
201606,-1.45
201607,-1.42
201608,-0.8
201609,-1
201610,5.1
201611,-1.38
201612,-0.28
201701,7.05
201702,4.2
201703,-0.77
201704,1.71
201705,-0.93
201706,0.06
201707,-0.73
201708,-0.87
201709,-1.01
201710,-2.17
201711,0.5
201712,-3.6
201801,-0.73
201802,-3.03
201803,2.44
201804,1.07
201805,-0.65
201806,-0.3
201807,-0.76
201808,-0.82
201809,-0.86
201810,-1.42
201811,0.36
201812,-1.71
201901,1.12
201902,5.22
201903,1.67
201904,-1.59
201905,4.63
201906,1.62
201907,0.54
201908,-0.21
201909,-0.72
201910,-2.25
201911,-2.18
201912,2.23
202001,-2.75
202002,-3.38
202003,-2.38
202004,-1.28
202005,0.19
202006,-1.52
202007,-1.52
202008,-0.69
202009,-1.23
202010,-2.92
202011,-1.84
202012,-1.72
202101,-1.41
202102,-1.98
202103,-1.8
202104,-2.35
202105,-2.65
202106,-3.1
202107,-2.27
202108,-1.19
202109,-0.95
202110,8.56
202111,-2.74
202112,1.21
202201,-4.02
202202,-3.19
202203,-3.1
202204,-0.37
202205,-1.7
202206,-1.71
202207,-1.58
202208,-0.67
202209,1.95
202210,-2.47
202211,-1.5
202212,3.28
202301,3.92
202302,-0.61
202303,6.85
202304,-1.87
202305,0.5
202306,-0.42
202307,-0.01
202308,-0.36
202309,-0.4
202310,-1.59
202311,-1.35
202312,0.25
202401,-0.41
202402,2.36
202403,0.24
202404,-1
202405,0.03
202406,-0.95
202407,-1.54
202408,-0.83
202409,-1.13
202410,-2.3
202411,4.33
202412,0.02
