#  Nevada County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-2.32
201402,2.13
201403,0.1
201404,-1.03
201405,-1.41
201406,-1.74
201407,-1.72
201408,0.29
201409,0.3
201410,-1.06
201411,-0.19
201412,1.68
201501,-3.96
201502,-0.72
201503,-3.94
201504,-1.03
201505,-0.63
201506,-0.25
201507,-0.64
201508,-0.67
201509,-1.3
201510,-1.43
201511,0.07
201512,1.18
201601,1.89
201602,-2.41
201603,3.87
201604,-0.82
201605,0
201606,-0.65
201607,-1.21
201608,-1.01
201609,-1.5
201610,7.77
201611,-2.21
201612,0.55
201701,6.72
201702,5.64
201703,-0.56
201704,3.97
201705,-1.55
201706,-0.8
201707,-1.65
201708,-1.07
201709,-0.03
201710,-1.78
201711,3.02
201712,-3.04
201801,-0.73
201802,-2.57
201803,4.58
201804,1
201805,-0.03
201806,-0.66
201807,-1.24
201808,-1.48
201809,-1.63
201810,-1.82
201811,0.73
201812,-1.56
201901,1.26
201902,5.17
201903,0.47
201904,-0.72
201905,4.39
201906,0.02
201907,0.19
201908,-0.46
201909,2.82
201910,-2.25
201911,-1.44
201912,1.44
202001,-2.06
202002,-3.15
202003,-0.13
202004,-0.21
202005,1.07
202006,-0.26
202007,0.28
202008,-0.63
202009,-1.8
202010,-2.93
202011,-0.35
202012,-1.08
202101,-1.16
202102,-1.68
202103,-1.88
202104,-2.69
202105,-2.37
202106,-3.32
202107,-3.39
202108,-2
202109,-0.37
202110,8.75
202111,-3.61
202112,2.27
202201,-3.47
202202,-2.93
202203,-3.4
202204,1.68
202205,-1.53
202206,0.62
202207,-0.58
202208,-0.63
202209,1.15
202210,-2.7
202211,-0.08
202212,4.06
202301,2.78
202302,-0.33
202303,4.47
202304,-1.78
202305,0.11
202306,0.92
202307,0.65
202308,0.83
202309,0.59
202310,-1.37
202311,-0.96
202312,-0.59
202401,-0.1
202402,1.16
202403,1.01
202404,-1.54
202405,-0.16
202406,-1.03
202407,-2.2
202408,-0.15
202409,-1.56
202410,-2.03
202411,2.15
202412,-0.16
